leader_type,leader_name,syncretism_civ_type,syncretism_civ_name
LEADER_IBN_BATTUTA,Ibn Battuta,CIVILIZATION_OTTOMANS,Ottomans
LEADER_IBN_BATTUTA,Ibn Battuta,CIVILIZATION_PERSIA,Achaemenid Persia
LEADER_IBN_BATTUTA,Ibn Battuta,CIVILIZATION_SONGHAI,Songhai
LEADER_ISABELLA,Isabella,CIVILIZATION_ABBASID,Abbasid
LEADER_ISABELLA,Isabella,CIVILIZATION_CARTHAGE,Carthage
LEADER_ISABELLA,Isabella,CIVILIZATION_EGYPT,Egypt
LEADER_ISABELLA,Isabella,CIVILIZATION_FRENCH_EMPIRE,French Empire
LEADER_ISABELLA,Isabella,CIVILIZATION_GREECE,Greece
LEADER_ISABELLA,Isabella,CIVILIZATION_ICELAND,Iceland
LEADER_ISABELLA,Isabella,CIVILIZATION_MEXICO,Mexico
LEADER_ISABELLA,Isabella,CIVILIZATION_SPAIN,Spain
LEADER_JOSE_RIZAL,José Rizal,CIVILIZATION_HAWAII,Hawai'i
LEADER_JOSE_RIZAL,José Rizal,CIVILIZATION_ICELAND,Iceland
LEADER_JOSE_RIZAL,José Rizal,CIVILIZATION_MAJAPAHIT,Majapahit
LEADER_JOSE_RIZAL,José Rizal,CIVILIZATION_MAYA,Maya
LEADER_JOSE_RIZAL,José Rizal,CIVILIZATION_MEIJI,Meiji Japan
LEADER_JOSE_RIZAL,José Rizal,CIVILIZATION_MISSISSIPPIAN,Mississippian
LEADER_JOSE_RIZAL,José Rizal,CIVILIZATION_SIAM,Siam
LEADER_JOSE_RIZAL,José Rizal,CIVILIZATION_TONGA,Tonga
LEADER_LAFAYETTE,Lafayette,CIVILIZATION_AMERICA,America
LEADER_LAFAYETTE,Lafayette,CIVILIZATION_FRENCH_EMPIRE,French Empire
LEADER_LAFAYETTE,Lafayette,CIVILIZATION_GREECE,Greece
LEADER_LAFAYETTE,Lafayette,CIVILIZATION_NORMAN,Norman
LEADER_LAFAYETTE,Lafayette,CIVILIZATION_ROME,Rome
LEADER_LAFAYETTE,Lafayette,CIVILIZATION_SPAIN,Spain
LEADER_LAKSHMIBAI,Lakshmibai,CIVILIZATION_ASSYRIA,Assyria
LEADER_LAKSHMIBAI,Lakshmibai,CIVILIZATION_CHOLA,Chola
LEADER_LAKSHMIBAI,Lakshmibai,CIVILIZATION_DAI_VIET,Đại Việt
LEADER_LAKSHMIBAI,Lakshmibai,CIVILIZATION_MAURYA,Maurya
LEADER_LAKSHMIBAI,Lakshmibai,CIVILIZATION_MUGHAL,Mughal
LEADER_LAKSHMIBAI,Lakshmibai,CIVILIZATION_NEPAL,Nepal
LEADER_MACHIAVELLI,Machiavelli,CIVILIZATION_FRENCH_EMPIRE,French Empire
LEADER_MACHIAVELLI,Machiavelli,CIVILIZATION_GREECE,Greece
LEADER_MACHIAVELLI,Machiavelli,CIVILIZATION_NORMAN,Norman
LEADER_MACHIAVELLI,Machiavelli,CIVILIZATION_ROME,Rome
LEADER_MACHIAVELLI,Machiavelli,CIVILIZATION_RUSSIA,Russia
LEADER_MACHIAVELLI,Machiavelli,CIVILIZATION_SILLA,Silla Korea
LEADER_MACHIAVELLI,Machiavelli,CIVILIZATION_SPAIN,Spain
LEADER_NAPOLEON,"Napoleon, Emperor",CIVILIZATION_FRENCH_EMPIRE,French Empire
LEADER_NAPOLEON,"Napoleon, Emperor",CIVILIZATION_NORMAN,Norman
LEADER_NAPOLEON,"Napoleon, Emperor",CIVILIZATION_PERSIA,Achaemenid Persia
LEADER_NAPOLEON,"Napoleon, Emperor",CIVILIZATION_PRUSSIA,Prussia
LEADER_NAPOLEON,"Napoleon, Emperor",CIVILIZATION_ROME,Rome
LEADER_NAPOLEON,"Napoleon, Emperor",CIVILIZATION_SPAIN,Spain
LEADER_NAPOLEON_ALT,"Napoleon, Revolutionary",CIVILIZATION_FRENCH_EMPIRE,French Empire
LEADER_NAPOLEON_ALT,"Napoleon, Revolutionary",CIVILIZATION_NORMAN,Norman
LEADER_NAPOLEON_ALT,"Napoleon, Revolutionary",CIVILIZATION_PERSIA,Achaemenid Persia
LEADER_NAPOLEON_ALT,"Napoleon, Revolutionary",CIVILIZATION_PRUSSIA,Prussia
LEADER_NAPOLEON_ALT,"Napoleon, Revolutionary",CIVILIZATION_ROME,Rome
LEADER_NAPOLEON_ALT,"Napoleon, Revolutionary",CIVILIZATION_SPAIN,Spain
LEADER_PACHACUTI,Pachacuti,CIVILIZATION_AMERICA,America
LEADER_PACHACUTI,Pachacuti,CIVILIZATION_HAWAII,Hawai'i
LEADER_PACHACUTI,Pachacuti,CIVILIZATION_INCA,Inca
LEADER_PACHACUTI,Pachacuti,CIVILIZATION_MAYA,Maya
LEADER_PACHACUTI,Pachacuti,CIVILIZATION_MEXICO,Mexico
LEADER_PACHACUTI,Pachacuti,CIVILIZATION_MISSISSIPPIAN,Mississippian
LEADER_PACHACUTI,Pachacuti,CIVILIZATION_NEPAL,Nepal
LEADER_SAYYIDA_AL_HURRA,Sayyida al Hurra,CIVILIZATION_ABBASID,Abbasid
LEADER_SAYYIDA_AL_HURRA,Sayyida al Hurra,CIVILIZATION_AKSUM,Aksum
LEADER_SAYYIDA_AL_HURRA,Sayyida al Hurra,CIVILIZATION_CARTHAGE,Carthage
LEADER_SAYYIDA_AL_HURRA,Sayyida al Hurra,CIVILIZATION_MUGHAL,Mughal
LEADER_SAYYIDA_AL_HURRA,Sayyida al Hurra,CIVILIZATION_OTTOMANS,Ottomans
LEADER_SAYYIDA_AL_HURRA,Sayyida al Hurra,CIVILIZATION_PIRATE_REPUBLIC,Republic of Pirates
LEADER_TECUMSEH,Tecumseh,CIVILIZATION_AMERICA,America
LEADER_TECUMSEH,Tecumseh,CIVILIZATION_HAWAII,Hawai'i
LEADER_TECUMSEH,Tecumseh,CIVILIZATION_MEXICO,Mexico
LEADER_TECUMSEH,Tecumseh,CIVILIZATION_MISSISSIPPIAN,Mississippian
LEADER_TECUMSEH,Tecumseh,CIVILIZATION_SHAWNEE,Shawnee
LEADER_TRUNG_TRAC,Trung Trac,CIVILIZATION_CHOLA,Chola
LEADER_TRUNG_TRAC,Trung Trac,CIVILIZATION_DAI_VIET,Đại Việt
LEADER_TRUNG_TRAC,Trung Trac,CIVILIZATION_KHMER,Khmer
LEADER_TRUNG_TRAC,Trung Trac,CIVILIZATION_MAJAPAHIT,Majapahit
LEADER_TRUNG_TRAC,Trung Trac,CIVILIZATION_MAURYA,Maurya
LEADER_TRUNG_TRAC,Trung Trac,CIVILIZATION_MEIJI,Meiji Japan
LEADER_TRUNG_TRAC,Trung Trac,CIVILIZATION_SIAM,Siam
LEADER_XERXES,"Xerxes, King of Kings",CIVILIZATION_ABBASID,Abbasid
LEADER_XERXES,"Xerxes, King of Kings",CIVILIZATION_ASSYRIA,Assyria
LEADER_XERXES,"Xerxes, King of Kings",CIVILIZATION_MAURYA,Maurya
LEADER_XERXES,"Xerxes, King of Kings",CIVILIZATION_MONGOLIA,Mongolia
LEADER_XERXES,"Xerxes, King of Kings",CIVILIZATION_MUGHAL,Mughal
LEADER_XERXES,"Xerxes, King of Kings",CIVILIZATION_PERSIA,Achaemenid Persia
LEADER_XERXES,"Xerxes, King of Kings",CIVILIZATION_QAJAR,Qajar
LEADER_XERXES,"Xerxes, King of Kings",CIVILIZATION_RUSSIA,Russia
LEADER_XERXES_ALT,"Xerxes, the Achaemenid",CIVILIZATION_ABBASID,Abbasid
LEADER_XERXES_ALT,"Xerxes, the Achaemenid",CIVILIZATION_ASSYRIA,Assyria
LEADER_XERXES_ALT,"Xerxes, the Achaemenid",CIVILIZATION_MAURYA,Maurya
LEADER_XERXES_ALT,"Xerxes, the Achaemenid",CIVILIZATION_MONGOLIA,Mongolia
LEADER_XERXES_ALT,"Xerxes, the Achaemenid",CIVILIZATION_MUGHAL,Mughal
LEADER_XERXES_ALT,"Xerxes, the Achaemenid",CIVILIZATION_PERSIA,Achaemenid Persia
LEADER_XERXES_ALT,"Xerxes, the Achaemenid",CIVILIZATION_QAJAR,Qajar
LEADER_XERXES_ALT,"Xerxes, the Achaemenid",CIVILIZATION_RUSSIA,Russia
