age,victory_category,legacy_type,name,trigger_description_raw,trigger_description_clean,reward_description_raw,reward_description_clean,has_race_variant,first_player_only,major_legacy,legacy_sets
Antiquity,Economic,LEGACY_AQ_ECONOMIC_1,Abundance,Assign [B]26 [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resources[/TIP][/B].,Assign 26 Radial_Resources Resources.,[B]+1 [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCE_CAPACITY_TOOLTIP]Resource Capacity[/TIP][/B] in all [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP].,+1 Radial_Resources Resource Capacity in all Settlements.,1,0,1,Default|Trailblazer|Classic
Antiquity,Economic,LEGACY_AQ_ECONOMIC_2,Silk Roads,Have [B]7 [icon:TRADE_ROUTE] [TIP:LOC_PEDIA_CONCEPTS_TRADE_ROUTE_TOOLTIP]Trade Routes[/TIP][/B].,Have 7 Trade_Route Trade Routes.,Gain [B]2 [icon:UNIT_MERCHANT] Merchants[/B] for free. [B]+1 [icon:TRADE_ROUTE] [TIP:LOC_PEDIA_CONCEPTS_TRADE_ROUTE_TOOLTIP]Trade Route Capacity[/TIP][/B] with all Civilizations.,Gain 2 Unit_Merchant Merchants for free. +1 Trade_Route Trade Route Capacity with all Civilizations.,1,0,1,Default|Trailblazer|Explorer
Antiquity,Economic,LEGACY_AQ_ECONOMIC_3,Midas Touch,Have [B]8 [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Gold Buildings[/TIP][/B].,Have 8 Gold Buildings.,"[B]+5%[/B] [icon:YIELD_GOLD] toward purchasing [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP], doubled toward [icon:YIELD_GOLD] Gold Buildings.","+5% Gold toward purchasing Buildings, doubled toward Gold Gold Buildings.",1,0,1,Default|Trailblazer
Antiquity,Economic,LEGACY_AQ_ECONOMIC_4,Greed is Golden,"Make 10,000 [icon:YIELD_GOLD] worth of purchases this [TIP:LOC_PEDIA_CONCEPTS_AGE_TOOLTIP]Age[/TIP]. [TIP:LOC_PEDIA_CONCEPTS_MAINTENANCE_TOOLTIP]Maintenance[/TIP] does not count.","Make 10,000 Gold worth of purchases this Age. Maintenance does not count.",Gain [B]2 [icon:UNIT_MERCHANT] Merchants[/B] for free.,Gain 2 Unit_Merchant Merchants for free.,1,0,0,Default|Trailblazer
Antiquity,Economic,LEGACY_AQ_ECONOMIC_5,Trajan's Market,Have [B]18 [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_EMPIRE_RESOURCES_TOOLTIP]Empire Resources[/TIP][/B].,Have 18 Radial_Resources Empire Resources.,[B]+1 [icon:YIELD_GOLD][/B] for every [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_EMPIRE_RESOURCES_TOOLTIP]Empire Resource[/TIP].,+1 Gold for every Radial_Resources Empire Resource.,1,0,0,Default|Trailblazer|Explorer
Antiquity,Expansion,LEGACY_AQ_EXPANSIONIST_1,Four Corners of the World,Found [B]8 [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP][/B].,Found 8 Settlements.,[icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP] gain an additional [B]2 [icon:YIELD_POPULATION] [TIP:LOC_PEDIA_CONCEPTS_POPULATION_TOOLTIP]Population[/TIP][/B] with their first [icon:YIELD_POPULATION] Growth Event.,Towns Towns gain an additional 2 Population Population with their first Population Growth Event.,1,0,1,Default|Trailblazer|Explorer
Antiquity,Expansion,LEGACY_AQ_EXPANSIONIST_2,We Need More Sacbeob,Have [B]10 [icon:SPECIALIST] [TIP:LOC_PEDIA_CONCEPTS_SPECIALIST_TOOLTIP]Specialists[/TIP][/B].,Have 10 Specialist Specialists.,[B]-1 [icon:YIELD_FOOD][/B] and [icon:YIELD_HAPPINESS] [TIP:LOC_PEDIA_CONCEPTS_MAINTENANCE_TOOLTIP]Maintenance[/TIP] for [icon:SPECIALIST] [TIP:LOC_PEDIA_CONCEPTS_SPECIALIST_TOOLTIP]Specialists[/TIP].,-1 Food and Happiness Maintenance for Specialist Specialists.,1,0,1,Default|Trailblazer
Antiquity,Expansion,LEGACY_AQ_EXPANSIONIST_3,Tower of Babel,Have [B]150 [icon:YIELD_POPULATION] [TIP:LOC_PEDIA_CONCEPTS_POPULATION_TOOLTIP]Population[/TIP][/B].,Have 150 Population Population.,[B]+1 [icon:YIELD_FOOD][/B] on [icon:YIELD_WAREHOUSE] [TIP:LOC_PEDIA_CONCEPTS_WAREHOUSE_TOOLTIP]Food Warehouses[/TIP]. [B]+2 [icon:YIELD_FOOD][/B] on [icon:YIELD_FOOD] [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Food Buildings[/TIP].,+1 Food on Warehouse Food Warehouses. +2 Food on Food Food Buildings.,1,0,1,Default|Trailblazer
Antiquity,Expansion,LEGACY_AQ_EXPANSIONIST_4,From Nagû to Nagû,Reveal 33% of the Map.,Reveal 33% of the Map.,Gain [B]1 [icon:UNIT_SETTLER] Settler[/B] for free.,Gain 1 Unit_Settler Settler for free.,1,0,0,Default|Trailblazer|Explorer
Antiquity,Expansion,LEGACY_AQ_EXPANSIONIST_5,Yok'ol-kab,Improve at least 1 tile from all [icon:NOTIFICATION_DISCOVER_NATURAL_WONDER] [TIP:LOC_PEDIA_CONCEPTS_NATURAL_WONDER_TOOLTIP]Natural Wonders[/TIP] in your [TIP:LOC_PEDIA_CONCEPTS_HOMELANDS_TOOLTIP]Homelands[/TIP].,Improve at least 1 tile from all Notification_Discover_Natural_Wonder Natural Wonders in your Homelands.,[B]+1 [icon:YIELD_FOOD][/B] on [TIP:LOC_PEDIA_CONCEPTS_APPEAL_TOOLTIP]Breathtaking[/TIP] tiles.,+1 Food on Breathtaking tiles.,1,0,0,Default|Trailblazer
Antiquity,Expansion,LEGACY_AQ_EXPLORER_1,Austronesian Expansion,Have [B]4 [TIP:LOC_PEDIA_CONCEPTS_NAVAL_UNITS_TOOLTIP]Naval Units[/TIP][/B].,Have 4 Naval Units.,[B]+1 [icon:Action_Showall] [TIP:LOC_PEDIA_CONCEPTS_SIGHT_TOOLTIP]Sight[/TIP][/B] on [TIP:LOC_PEDIA_CONCEPTS_NAVAL_UNITS_TOOLTIP]Naval Units[/TIP].,+1 Action_Showall Sight on Naval Units.,0,0,0,Explorer
Antiquity,Expansion,LEGACY_AQ_EXPLORER_2,Delian League,Become [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of 2 Expansionist [icon:CITYSTATE] [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-States[/TIP].,Become Suzerain of 2 Expansionist Citystate City-States.,[B]+50% [icon:YIELD_DIPLOMACY] toward Befriending [icon:INDEPENDENT_POWER] [TIP:LOC_PEDIA_CONCEPTS_INDEPENDENT_POWER_TOOLTIP]Independent Powers[/TIP].,+50% Diplomacy toward Befriending Independent_Power Independent Powers.,0,0,1,Explorer
Antiquity,Expansion,LEGACY_AQ_EXPLORER_3,Norge to South,Reach both Poles.,Reach both Poles.,Start a [icon:CELEBRATION] [TIP:LOC_PEDIA_CONCEPTS_CELEBRATIONS_TOOLTIP]Celebration[/TIP].,Start a Celebration Celebration.,0,0,0,Explorer
Antiquity,Military,LEGACY_AQ_CONQUEROR_1,Tel Jericho,Conquer a [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlement[/TIP] with [B]4 [icon:CITY_FORTIFIED] [TIP:LOC_PEDIA_CONCEPTS_FORTIFIED_DISTRICTS_TOOLTIP]Fortified Districts[/TIP][/B].,Conquer a Settlement with 4 City_Fortified Fortified Districts.,[B]+4 [icon:NAR_REW_COMBAT] Bombard Strength[/B] for [TIP:LOC_PEDIA_CONCEPTS_SIEGE_UNITS_TOOLTIP]Siege Units[/TIP].,+4 Nar_Rew_Combat Bombard Strength for Siege Units.,0,0,1,Conqueror
Antiquity,Military,LEGACY_AQ_CONQUEROR_2,Xanthippus' Band,Become [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of 2 Militaristic [icon:CITYSTATE] [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-States[/TIP].,Become Suzerain of 2 Militaristic Citystate City-States.,[B]+100% [icon:YIELD_DIPLOMACY][/B] toward Levying Units from [icon:CITYSTATE] [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-States[/TIP].,+100% Diplomacy toward Levying Units from Citystate City-States.,0,0,0,Conqueror
Antiquity,Military,LEGACY_AQ_CONQUEROR_3,Dies Alliensis,Have [B]4 [TIP:LOC_PEDIA_CONCEPTS_WONDERS_TOOLTIP]Wonders[/TIP][/B] in a Conquered [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlement[/TIP].,Have 4 Wonders in a Conquered Settlement.,[B]+6 [icon:YIELD_HAPPINESS][/B] in newly Conquered [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP].,+6 Happiness in newly Conquered Settlements.,0,0,1,Conqueror
Antiquity,Military,LEGACY_AQ_CONQUEROR_4,Lukka Lands,Disperse [B]4 [icon:INDEPENDENT_POWER] [TIP:LOC_PEDIA_CONCEPTS_INDEPENDENT_POWER_TOOLTIP]Independent Powers[/TIP][/B].,Disperse 4 Independent_Power Independent Powers.,[B]+4 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP][/B] against [icon:INDEPENDENT_POWER] [TIP:LOC_PEDIA_CONCEPTS_INDEPENDENT_POWER_TOOLTIP]Independent Powers[/TIP].,+4 Nar_Rew_Combat Combat Strength against Independent_Power Independent Powers.,0,0,0,Conqueror
Antiquity,Military,LEGACY_AQ_MILITARISTIC_1,Pax Imperatoria,Conquer and hold [B]6 [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP][/B].,Conquer and hold 6 Settlements.,[B]+2 [icon:SETTLEMENT_LIMIT] [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_LIMIT_TOOLTIP]Settlement Limit[/TIP][/B].,+2 Settlement_Limit Settlement Limit.,1,0,1,Default|Trailblazer|Classic|Conqueror
Antiquity,Military,LEGACY_AQ_MILITARISTIC_2,To Fell a Giant,Suffer [B]-5 [TIP:LOC_PEDIA_CONCEPTS_WAR_WEARINESS_TOOLTIP]War Weariness[/TIP][/B] in a single [icon:WAR] War.,Suffer -5 War Weariness in a single War War.,[B]+1 [icon:WAR_SUPPORT] [TIP:LOC_PEDIA_CONCEPTS_WAR_SUPPORT_TOOLTIP]War Support[/TIP][/B] on all [icon:WAR] Wars. [B]+50% [icon:YIELD_DIPLOMACY][/B] toward [icon:WAR_SUPPORT] War Support.,+1 War_Support War Support on all War Wars. +50% Diplomacy toward War_Support War Support.,1,0,1,Default|Trailblazer|Conqueror
Antiquity,Military,LEGACY_AQ_MILITARISTIC_3,What a Gaius,Have a Level [B]8 [TIP:LOC_PEDIA_CONCEPTS_COMMANDER_TOOLTIP]Commander[/TIP][/B].,Have a Level 8 Commander.,Gain an [icon:UNIT_ARMY_COMMANDER] [TIP:LOC_PEDIA_CONCEPTS_COMMANDER_TOOLTIP]Army Commander[/TIP] with [B]3 [icon:NAR_REW_PROMOTION] [TIP:LOC_PEDIA_CONCEPTS_PROMOTION_TOOLTIP]Promotions[/TIP][/B].,Gain an Unit_Army_Commander Army Commander with 3 Nar_Rew_Promotion Promotions.,1,0,1,Default|Trailblazer|Conqueror
Antiquity,Military,LEGACY_AQ_MILITARISTIC_4,First Blood,First to conquer a [icon:NOTIFICATION_SELECT_CAPITAL] [TIP:LOC_PEDIA_CONCEPTS_CAPITAL_TOOLTIP]Capital[/TIP].,First to conquer a Notification_Select_Capital Capital.,"Gain [B]1 [icon:NAR_REW_PROMOTION] [TIP:LOC_PEDIA_CONCEPTS_PROMOTION_TOOLTIP]Promotion[/TIP][/B] for free on all [TIP:LOC_PEDIA_CONCEPTS_COMMANDER_TOOLTIP]Commanders[/TIP], including future Commanders.","Gain 1 Nar_Rew_Promotion Promotion for free on all Commanders, including future Commanders.",1,1,0,Default|Trailblazer|Conqueror
Antiquity,Military,LEGACY_AQ_MILITARISTIC_5,Jebel Seheba,Be at [icon:WAR] War with all Civilizations in the [TIP:LOC_PEDIA_CONCEPTS_HOMELANDS_TOOLTIP]Homelands[/TIP].,Be at War War with all Civilizations in the Homelands.,[B]+1 [icon:WAR_SUPPORT] [TIP:LOC_PEDIA_CONCEPTS_WAR_SUPPORT_TOOLTIP]War Support[/TIP][/B] on all [icon:WAR] Wars this [TIP:LOC_PEDIA_CONCEPTS_AGE_TOOLTIP]Age[/TIP].,+1 War_Support War Support on all War Wars this Age.,1,0,0,Default|Trailblazer|Conqueror
Antiquity,Science,LEGACY_AQ_SCIENTIFIC_1,Round Earther,Complete [icon:DEFAULT_PROJECT] Chart the Stars and [icon:DEFAULT_PROJECT] Spherical Earth [icon:PROJECT] [TIP:LOC_PEDIA_CONCEPTS_PROJECTS_TOOLTIP]Projects[/TIP].,Complete Default_Project Chart the Stars and Default_Project Spherical Earth Project Projects.,Unlock [icon:RADIAL_TECH] Astronomy. [B]+25% [icon:YIELD_PRODUCTION][/B] toward [icon:PROJECT] [TIP:LOC_PEDIA_CONCEPTS_PROJECTS_TOOLTIP]Projects[/TIP].,Unlock Radial_Tech Astronomy. +25% Production toward Project Projects.,1,0,1,Default|Trailblazer
Antiquity,Science,LEGACY_AQ_SCIENTIFIC_2,Kaogongji,Have [B]5 non-City Center [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Districts[/TIP][/B] with 30+ Yield.,Have 5 non-City Center Districts with 30+ Yield.,[B]+1 [icon:SPECIALIST] [TIP:LOC_PEDIA_CONCEPTS_SPECIALIST_LIMIT_TOOLTIP]Specialist Limit[/TIP][/B] in all [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP].,+1 Specialist Specialist Limit in all Cities.,1,0,1,Default|Trailblazer
Antiquity,Science,LEGACY_AQ_SCIENTIFIC_3,Library of Ashurbanipal,Display [B]12 [icon:NAR_REW_GREATWORK] [TIP:LOC_PEDIA_CONCEPTS_CODEX_TOOLTIP]Codices[/TIP][/B].,Display 12 Nar_Rew_Greatwork Codices.,[B]+1 [icon:NAR_REW_GREATWORK] [TIP:LOC_PEDIA_CONCEPTS_GREAT_WORKS_TOOLTIP]Great Work[/TIP][/B] slot on [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Science Buildings[/TIP]. [B]+2 [icon:YIELD_SCIENCE][/B] from displayed [icon:NAR_REW_GREATWORK] Great Works.,+1 Nar_Rew_Greatwork Great Work slot on Science Buildings. +2 Science from displayed Nar_Rew_Greatwork Great Works.,1,0,1,Default|Trailblazer|Classic
Antiquity,Science,LEGACY_AQ_SCIENTIFIC_4,Abracadabacus,First to research [icon:RADIAL_TECH] Mathematics.,First to research Radial_Tech Mathematics.,[B]+25% [icon:YIELD_PRODUCTION][/B] toward [icon:PROJECT] [TIP:LOC_PEDIA_CONCEPTS_PROJECTS_TOOLTIP]Projects[/TIP] this [TIP:LOC_PEDIA_CONCEPTS_AGE_TOOLTIP]Age[/TIP].,+25% Production toward Project Projects this Age.,1,1,0,Default|Trailblazer
Antiquity,Science,LEGACY_AQ_SCIENTIFIC_5,a²+b²=c²,First to research all [icon:RADIAL_TECH] [TIP:LOC_PEDIA_CONCEPTS_TECH_TOOLTIP]Technologies[/TIP] and [TIP:LOC_PEDIA_CONCEPTS_MASTERY_TOOLTIP]Masteries[/TIP].,First to research all Radial_Tech Technologies and Masteries.,[B]+1 [icon:YIELD_POPULATION] [TIP:LOC_PEDIA_CONCEPTS_POPULATION_TOOLTIP]Population[/TIP][/B] in [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP].,+1 Population Population in Cities.,1,0,0,Default|Trailblazer
