independent_type,city_name,tribe_name,city_state_type,affinity,biome,age
INDEPENDENT_ANTIQUITY_52,Tiwanaku,Tiwanaku,SCIENTIFIC,Friendly,Tundra,AGE_ANTIQUITY
INDEPENDENT_ANTIQUITY_54,Caral-Supe,Caral,SCIENTIFIC,Neutral,Desert,AGE_ANTIQUITY
INDEPENDENT_EXPLORATION_23,Vatican City,Papal State,CULTURAL,Friendly,Plains,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_3,Zimbabwe,Shona,CULTURAL,Friendly,Plains,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_32,Constantinople,Byzantine,CULTURAL,Neutral,Grassland,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_40,Monte Albán,Zapotec,CULTURAL,Neutral,Grassland,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_49,Hunza,Muisca,CULTURAL,Neutral,Tropical,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_50,Ngulu Mapu,Mapuche,CULTURAL,Neutral,Tundra,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_55,Chiang Mai,Lanna,CULTURAL,Friendly,Plains,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_57,Luang Prabang,Lan Xang,CULTURAL,Neutral,Tropical,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_59,Birrarung,Kulin,CULTURAL,Neutral,Desert,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_60,Mparntwe,Arrernte,CULTURAL,Friendly,Desert,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_10,Tidore,Tidorese,DIPLOMATIC,Neutral,Tropical,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_21,Arles,Burgundian,DIPLOMATIC,Friendly,Grassland,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_28,Karantanija,Slavic,DIPLOMATIC,Neutral,Grassland,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_30,Avanti,Gujaradesa,DIPLOMATIC,Hostile,Grassland,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_41,Werowocomoco,Powhatan,DIPLOMATIC,Neutral,Grassland,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_45,Wai'tu Kubuli,Kalinago,DIPLOMATIC,Hostile,Tropical,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_53,Pagan,Pagan,DIPLOMATIC,Neutral,Tropical,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_6,Fashoda,Shilluk,DIPLOMATIC,Neutral,Desert,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_9,Aberffraw,Welsh,DIPLOMATIC,Hostile,Desert,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_16,Samarkand,Karakhanid,ECONOMIC,Friendly,Plains,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_2,Niani,Mande,ECONOMIC,Friendly,Desert,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_22,Venice,Venetian,ECONOMIC,Friendly,Plains,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_31,Mamallapuram,Pallava,ECONOMIC,Neutral,Tropical,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_33,Damascus,Umayyad,ECONOMIC,Neutral,Plains,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_4,Kilwa,Kilwa,ECONOMIC,Friendly,Tropical,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_43,Ossossané,Wyandot,ECONOMIC,Hostile,Grassland,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_44,Onondaga,Haudenosaunee,ECONOMIC,Neutral,Grassland,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_54,Buansa,Sulu,ECONOMIC,Neutral,Tropical,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_56,Tondo,Tondo,ECONOMIC,Friendly,Tropical,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_7,Abalessa,Tuareg,ECONOMIC,Neutral,Desert,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_8,Garama,Garamantian,ECONOMIC,Hostile,Desert,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_11,Istakhr,Sasanian,EXPANSIONIST,Neutral,Plains,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_12,Kannauj,Pratihara,EXPANSIONIST,Neutral,Tundra,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_17,Muara Jambi,Srivijayan,EXPANSIONIST,Friendly,Desert,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_25,Vilnius,Lithuanian,EXPANSIONIST,Neutral,Tundra,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_34,Hama,Ayyubid,EXPANSIONIST,Friendly,Plains,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_35,Medina,Rashidun,EXPANSIONIST,Neutral,Desert,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_36,Nishapur,Seljuk,EXPANSIONIST,Hostile,Plains,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_38,Kath,Khwarazm,EXPANSIONIST,Friendly,Plains,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_42,Camagüey,Taíno,EXPANSIONIST,Friendly,Tropical,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_61,Anakena,Rapa Nui,EXPANSIONIST,Friendly,Plains,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_14,Shangjing,Jurchen,MILITARISTIC,Hostile,Tundra,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_18,Dzungaria,Oirat,MILITARISTIC,Hostile,Tundra,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_19,Kyiv,Rus',MILITARISTIC,Hostile,Tundra,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_20,Roskilde,Danish,MILITARISTIC,Hostile,Tundra,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_24,Etelköz,Magyar,MILITARISTIC,Hostile,Tundra,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_29,Tabriz,Ilkhanid,MILITARISTIC,Hostile,Plains,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_46,Alachua,Seminole,MILITARISTIC,Hostile,Tropical,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_47,Hippo Regius,Vandal,MILITARISTIC,Hostile,Tropical,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_48,Tenochtitlan,Mexica,MILITARISTIC,Hostile,Grassland,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_51,Nansarunai,Dayak,MILITARISTIC,Hostile,Tropical,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_1,Awdaghust,Soninke,SCIENTIFIC,Neutral,Plains,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_13,Kamakura,Japanese,SCIENTIFIC,Hostile,Grassland,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_15,Gaegyeong,Goryeo,SCIENTIFIC,Friendly,Tundra,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_26,Stockholm,Swedish,SCIENTIFIC,Neutral,Tundra,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_27,Tucume,Sican,SCIENTIFIC,Neutral,Grassland,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_37,Isfahan,Safavid,SCIENTIFIC,Hostile,Plains,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_39,Tilantongo,Mixtec,SCIENTIFIC,Neutral,Grassland,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_5,Njimi,Kanem,SCIENTIFIC,Neutral,Desert,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_52,Ava,Ava,SCIENTIFIC,Hostile,Tropical,AGE_EXPLORATION
INDEPENDENT_EXPLORATION_58,Ayutthaya,Ayutthaya,SCIENTIFIC,Friendly,Tropical,AGE_EXPLORATION
INDEPENDENT_MODERN_10,Ezogashima,Ainu,CULTURAL,Neutral,Tundra,AGE_MODERN
INDEPENDENT_MODERN_16,Vienna,Austrian,CULTURAL,Neutral,Tundra,AGE_MODERN
INDEPENDENT_MODERN_21,Monaco,Monégasque,CULTURAL,Friendly,Plains,AGE_MODERN
INDEPENDENT_MODERN_23,Punakha,Bhutanese,CULTURAL,Neutral,Tundra,AGE_MODERN
INDEPENDENT_MODERN_27,Inuit Nunangat,Inuit,CULTURAL,Neutral,Tundra,AGE_MODERN
INDEPENDENT_MODERN_34,Fortín Mbororé,Guarani,CULTURAL,Neutral,Tropical,AGE_MODERN
INDEPENDENT_MODERN_37,Taunggyi,Shan,CULTURAL,Neutral,Tundra,AGE_MODERN
INDEPENDENT_MODERN_44,Denpasar,Balinese,CULTURAL,Friendly,Tropical,AGE_MODERN
INDEPENDENT_MODERN_49,Maungakiekie,Māori,CULTURAL,Friendly,Grassland,AGE_MODERN
INDEPENDENT_MODERN_13,Geneva,Swiss,DIPLOMATIC,Friendly,Tundra,AGE_MODERN
INDEPENDENT_MODERN_15,Belgrade,Serbian,DIPLOMATIC,Neutral,Grassland,AGE_MODERN
INDEPENDENT_MODERN_17,Helsinki,Finnish,DIPLOMATIC,Neutral,Tundra,AGE_MODERN
INDEPENDENT_MODERN_18,Dublin,Irish,DIPLOMATIC,Neutral,Grassland,AGE_MODERN
INDEPENDENT_MODERN_20,San Marino,Sammarinese,DIPLOMATIC,Friendly,Tundra,AGE_MODERN
INDEPENDENT_MODERN_42,Ternate,Ternate,DIPLOMATIC,Hostile,Tropical,AGE_MODERN
INDEPENDENT_MODERN_48,Apia,Sāmoan,DIPLOMATIC,Friendly,Tropical,AGE_MODERN
INDEPENDENT_MODERN_6,Hamdullahi,Massina,DIPLOMATIC,Hostile,Plains,AGE_MODERN
INDEPENDENT_MODERN_14,Lisbon,Portuguese,ECONOMIC,Friendly,Plains,AGE_MODERN
INDEPENDENT_MODERN_2,Stone Town,Zanzibari,ECONOMIC,Friendly,Tropical,AGE_MODERN
INDEPENDENT_MODERN_26,Muscat,Omani,ECONOMIC,Friendly,Desert,AGE_MODERN
INDEPENDENT_MODERN_30,Moson Kahni,Shoshone,ECONOMIC,Friendly,Plains,AGE_MODERN
INDEPENDENT_MODERN_35,Byti,Ge,ECONOMIC,Neutral,Tropical,AGE_MODERN
INDEPENDENT_MODERN_40,Malé,Dhivehin,ECONOMIC,Neutral,Grassland,AGE_MODERN
INDEPENDENT_MODERN_5,Marrakesh,Moroccan,ECONOMIC,Neutral,Desert,AGE_MODERN
INDEPENDENT_MODERN_8,Antananarivo,Merina,ECONOMIC,Hostile,Grassland,AGE_MODERN
INDEPENDENT_MODERN_1,Oyo-Ile,Oyo,EXPANSIONIST,Friendly,Plains,AGE_MODERN
INDEPENDENT_MODERN_28,Big Timbers,Comanche,EXPANSIONIST,Neutral,Grassland,AGE_MODERN
INDEPENDENT_MODERN_38,Lagawe,Ifugao,EXPANSIONIST,Hostile,Tropical,AGE_MODERN
INDEPENDENT_MODERN_4,Kumasi,Ashanti,EXPANSIONIST,Neutral,Plains,AGE_MODERN
INDEPENDENT_MODERN_41,Mwibele,Luba,EXPANSIONIST,Friendly,Tropical,AGE_MODERN
INDEPENDENT_MODERN_43,Kutaraja,Aceh,EXPANSIONIST,Hostile,Tropical,AGE_MODERN
INDEPENDENT_MODERN_46,Bukhara,Bukharan,EXPANSIONIST,Neutral,Desert,AGE_MODERN
INDEPENDENT_MODERN_9,Omdurman,Sudanese,EXPANSIONIST,Hostile,Desert,AGE_MODERN
INDEPENDENT_MODERN_19,Bucharest,Wallachian,MILITARISTIC,Hostile,Grassland,AGE_MODERN
INDEPENDENT_MODERN_22,Gujranwala,Sikh,MILITARISTIC,Hostile,Tundra,AGE_MODERN
INDEPENDENT_MODERN_31,Indeislun Nakah,Nde,MILITARISTIC,Hostile,Desert,AGE_MODERN
INDEPENDENT_MODERN_33,Paha Sapa,Lakota,MILITARISTIC,Hostile,Plains,AGE_MODERN
INDEPENDENT_MODERN_36,Panghsang,Wa,MILITARISTIC,Hostile,Grassland,AGE_MODERN
INDEPENDENT_MODERN_45,Jalalabad,Afghan,MILITARISTIC,Hostile,Plains,AGE_MODERN
INDEPENDENT_MODERN_47,Tashkent,Kokand,MILITARISTIC,Hostile,Desert,AGE_MODERN
INDEPENDENT_MODERN_7,Abomey,Dahomey,MILITARISTIC,Hostile,Plains,AGE_MODERN
INDEPENDENT_MODERN_11,Phú Xuân,Vietnamese,SCIENTIFIC,Hostile,Tropical,AGE_MODERN
INDEPENDENT_MODERN_12,Hanseong,Joseon,SCIENTIFIC,Neutral,Grassland,AGE_MODERN
INDEPENDENT_MODERN_24,Kandy,Kandyan,SCIENTIFIC,Friendly,Tropical,AGE_MODERN
INDEPENDENT_MODERN_25,Qal'ai Khumb,Darvaz,SCIENTIFIC,Neutral,Desert,AGE_MODERN
INDEPENDENT_MODERN_29,Aaní,Tlingit,SCIENTIFIC,Friendly,Tundra,AGE_MODERN
INDEPENDENT_MODERN_3,Addis Ababa,Ethiopian,SCIENTIFIC,Friendly,Desert,AGE_MODERN
INDEPENDENT_MODERN_32,Bogotá,Colombian,SCIENTIFIC,Friendly,Desert,AGE_MODERN
INDEPENDENT_MODERN_39,Mandalay,Burmese,SCIENTIFIC,Neutral,Tropical,AGE_MODERN
