node_type,name,age,tree,cost,description_raw,description_clean,prereqs,unlocks,column_pos,row_pos,icon_string
NODE_CIVIC_AQ_MAIN_COMMERCE,Commerce,AGE_ANTIQUITY,TREE_CIVICS_AQ_MAIN,750,,,NODE_CIVIC_AQ_MAIN_SKILLED_TRADES,KIND_TRADITION:TRADITION_COMMODITIES|KIND_TRADITION:TRADITION_MEDICINE|KIND_CONSTRUCTIBLE:WONDER_MONKS_MOUND,5,0,cult_commerce
NODE_CIVIC_AQ_MAIN_FUTURE_CIVIC,Future Civic,AGE_ANTIQUITY,TREE_CIVICS_AQ_MAIN,1000,,,NODE_CIVIC_AQ_MAIN_ENTERTAINMENT|NODE_CIVIC_AQ_MAIN_PHILOSOPHY|NODE_CIVIC_AQ_MAIN_COMMERCE|NODE_CIVIC_AQ_MAIN_ORG_MILITARY,,6,0,cult_futurecivic
NODE_CIVIC_EX_MAIN_ECONOMICS,Economics,AGE_EXPLORATION,TREE_CIVICS_EX_MAIN,700,,,,KIND_TRADITION:TRADITION_MARITIME_LAW|KIND_CONSTRUCTIBLE:WONDER_GRAND_BAZAAR,0,0,cult_economics
NODE_CIVIC_EX_MAIN_PIETY,Piety,AGE_EXPLORATION,TREE_CIVICS_EX_MAIN,700,,,,KIND_TRADITION:TRADITION_COMMUNE|KIND_CONSTRUCTIBLE:BUILDING_TEMPLE|KIND_CONSTRUCTIBLE:WONDER_WAT_XIENG_THONG,0,1,cult_piety
NODE_CIVIC_EX_MAIN_MERCANTILISM,Mercantilism,AGE_EXPLORATION,TREE_CIVICS_EX_MAIN,900,,,NODE_CIVIC_EX_MAIN_ECONOMICS,KIND_TRADITION:TRADITION_TRADE_WINDS|KIND_CONSTRUCTIBLE:WONDER_TOMB_OF_ASKIA,1,2,cult_merchantilism
NODE_CIVIC_EX_MAIN_AUTHORITY,Authority,AGE_EXPLORATION,TREE_CIVICS_EX_MAIN,900,,,NODE_CIVIC_EX_MAIN_ECONOMICS|NODE_CIVIC_EX_MAIN_PIETY,KIND_TRADITION:TRADITION_VASSALAGE|KIND_DIPLOMATIC_ACTION:DIPLOMACY_ACTION_COUNTER_SPY|KIND_TRADITION:TRADITION_LEVIES|KIND_CONSTRUCTIBLE:WONDER_ERDENE_ZUU,1,0,cult_authority
NODE_CIVIC_EX_MAIN_INSPIRATION,Inspiration,AGE_EXPLORATION,TREE_CIVICS_EX_MAIN,900,,,NODE_CIVIC_EX_MAIN_PIETY,KIND_TRADITION:TRADITION_RENAISSANCE|KIND_CONSTRUCTIBLE:WONDER_HALE_O_KEAWE,1,1,cult_inspiration
NODE_CIVIC_EX_MAIN_COLONIALISM,Colonialism,AGE_EXPLORATION,TREE_CIVICS_EX_MAIN,1300,,,NODE_CIVIC_EX_MAIN_MERCANTILISM,KIND_TRADITION:TRADITION_CHARTERS|KIND_TRADITION:TRADITION_COLONIAL_SURPLUS|KIND_CONSTRUCTIBLE:WONDER_EL_ESCORIAL,2,1,cult_colonialism
NODE_CIVIC_EX_MAIN_BUREAUCRACY,Bureaucracy,AGE_EXPLORATION,TREE_CIVICS_EX_MAIN,1300,,,NODE_CIVIC_EX_MAIN_AUTHORITY,KIND_TRADITION:TRADITION_CONSTITUTION|KIND_CONSTRUCTIBLE:WONDER_BOROBUDUR,2,0,cult_socialclass
NODE_CIVIC_EX_MAIN_DIPLOMATIC_SERVICE,Diplomatic Service,AGE_EXPLORATION,TREE_CIVICS_EX_MAIN,1300,,,NODE_CIVIC_EX_MAIN_AUTHORITY,KIND_TRADITION:TRADITION_HEQIN|KIND_CONSTRUCTIBLE:WONDER_BRIHADEESWARAR_TEMPLE,2,2,cult_diplomaticservice
NODE_CIVIC_EX_MAIN_SOCIETY,Society,AGE_EXPLORATION,TREE_CIVICS_EX_MAIN,1300,,,NODE_CIVIC_EX_MAIN_INSPIRATION,KIND_TRADITION:TRADITION_PATRONAGE|KIND_TRADITION:TRADITION_UPOSATHA|KIND_CONSTRUCTIBLE:WONDER_HOUSE_OF_WISDOM|KIND_DIPLOMATIC_ACTION:DIPLOMACY_ACTION_ESPIONAGE_SABOTAGE_WORKERS|KIND_CONSTRUCTIBLE:WONDER_REYKHOLT,2,3,cult_society
NODE_CIVIC_EX_MAIN_IMPERIALISM,Imperialism,AGE_EXPLORATION,TREE_CIVICS_EX_MAIN,2100,,,NODE_CIVIC_EX_MAIN_COLONIALISM|NODE_CIVIC_EX_MAIN_BUREAUCRACY,KIND_TRADITION:TRADITION_INDENTURE|KIND_TRADITION:TRADITION_TARIFFS|KIND_TRADITION:TRADITION_COMMISSIONED_OFFICERS|KIND_TRADITION:TRADITION_METROPOLE|KIND_CONSTRUCTIBLE:WONDER_WHITE_TOWER,3,0,cult_imperialism
NODE_CIVIC_EX_MAIN_SOVEREIGNTY,Sovereignty,AGE_EXPLORATION,TREE_CIVICS_EX_MAIN,2100,,,NODE_CIVIC_EX_MAIN_BUREAUCRACY|NODE_CIVIC_EX_MAIN_DIPLOMATIC_SERVICE,KIND_TRADITION:TRADITION_DIVINE_RIGHT|KIND_TRADITION:TRADITION_REGULARS|KIND_TRADITION:TRADITION_DE_FACTO|KIND_TRADITION:TRADITION_DE_JURE,3,2,cult_sovereignty
NODE_CIVIC_EX_MAIN_SOCIAL_CLASS,Social Class,AGE_EXPLORATION,TREE_CIVICS_EX_MAIN,2100,,,NODE_CIVIC_EX_MAIN_DIPLOMATIC_SERVICE|NODE_CIVIC_EX_MAIN_SOCIETY,KIND_TRADITION:TRADITION_CHIVALRY|KIND_TRADITION:TRADITION_ENLIGHTENMENT|KIND_TRADITION:TRADITION_BOURGEOISIE|KIND_TRADITION:TRADITION_YEOMANRY|KIND_CONSTRUCTIBLE:WONDER_NOTRE_DAME,3,1,cult_aristocracy
NODE_CIVIC_EX_MAIN_FUTURE_CIVIC,Future Civic,AGE_EXPLORATION,TREE_CIVICS_EX_MAIN,3000,,,NODE_CIVIC_EX_MAIN_IMPERIALISM|NODE_CIVIC_EX_MAIN_SOVEREIGNTY|NODE_CIVIC_EX_MAIN_SOCIAL_CLASS,,4,0,cult_futurecivic
NODE_CIVIC_MO_MAIN_MODERNIZATION,Modernity,AGE_MODERN,TREE_CIVICS_MO_MAIN,1600,,,,KIND_TRADITION:TRADITION_CIVIL_ENGINEERING|KIND_TRADITION:TRADITION_LIVING_STANDARDS|KIND_CONSTRUCTIBLE:WONDER_HERMITAGE|KIND_CONSTRUCTIBLE:WONDER_SULTANAHMET_CAMII,0,0,cult_modernization
NODE_CIVIC_MO_MAIN_NATURAL_HISTORY,Natural History,AGE_MODERN,TREE_CIVICS_MO_MAIN,1600,,,,KIND_TRADITION:TRADITION_LAND_HERITAGE|KIND_CONSTRUCTIBLE:BUILDING_MUSEUM|KIND_CONSTRUCTIBLE:WONDER_MUZIBU_AZAALA_MPANGA|KIND_UNIT:UNIT_EXPLORER|KIND_UNIT:UNIT_ANTIQUARIAN[TRAIT_GREAT_BRITAIN],0,1,cult_naturalhistory
NODE_CIVIC_MO_MAIN_SOCIAL_QUESTION,Social Question,AGE_MODERN,TREE_CIVICS_MO_MAIN,1600,,,,KIND_TRADITION:TRADITION_HUMANISM|KIND_TRADITION:TRADITION_SOCIAL_SCIENCE|KIND_CONSTRUCTIBLE:WONDER_DOGO_ONSEN,0,2,cult_socialquestion
NODE_CIVIC_MO_MAIN_POLITICAL_THEORY,Political Theory,AGE_MODERN,TREE_CIVICS_MO_MAIN,2750,,,NODE_CIVIC_MO_MAIN_MODERNIZATION|NODE_CIVIC_MO_MAIN_NATURAL_HISTORY|NODE_CIVIC_MO_MAIN_SOCIAL_QUESTION,KIND_TRADITION:TRADITION_FREE_SPEECH|KIND_CONSTRUCTIBLE:WONDER_DOI_SUTHEP,1,0,cult_politicaltheory
NODE_CIVIC_MO_MAIN_GLOBALISM,Globalism,AGE_MODERN,TREE_CIVICS_MO_MAIN,3750,,,NODE_CIVIC_MO_MAIN_POLITICAL_THEORY,KIND_TRADITION:TRADITION_AMBASSADORS|KIND_TRADITION:TRADITION_PRESERVATION_SOCIETIES|KIND_CONSTRUCTIBLE:WONDER_PALACIO_DE_BELLAS_ARTES|KIND_DIPLOMATIC_ACTION:DIPLOMACY_ACTION_ESPIONAGE_FAKE_ARTIFACTS,2,0,cult_globalism
NODE_CIVIC_MO_MAIN_NATIONALISM,Nationalism,AGE_MODERN,TREE_CIVICS_MO_MAIN,3750,,,NODE_CIVIC_MO_MAIN_POLITICAL_THEORY,KIND_TRADITION:TRADITION_DEMAGOGY|KIND_TRADITION:TRADITION_PEOPLES_ARMY|KIND_CONSTRUCTIBLE:WONDER_TAJ_MAHAL|KIND_DIPLOMATIC_ACTION:DIPLOMACY_ACTION_ESPIONAGE_INFILTRATE_ENEMY_POSITIONS|KIND_CONSTRUCTIBLE:WONDER_BOUDHANATH,2,1,cult_nationalism
NODE_CIVIC_MO_MAIN_CAPITALISM,Capitalism,AGE_MODERN,TREE_CIVICS_MO_MAIN,7500,,,NODE_CIVIC_MO_MAIN_GLOBALISM,KIND_TRADITION:TRADITION_LAISSEZ_FAIRE|KIND_TRADITION:TRADITION_MONOPOLIES|KIND_CONSTRUCTIBLE:WONDER_STATUE_OF_LIBERTY|KIND_CONSTRUCTIBLE:WONDER_CHENGDE_MOUNTAIN_RESORT,3,0,cult_capitalism
NODE_CIVIC_MO_MAIN_MILITARISM,Militarism,AGE_MODERN,TREE_CIVICS_MO_MAIN,7500,,,NODE_CIVIC_MO_MAIN_NATIONALISM,KIND_TRADITION:TRADITION_MATERIEL|KIND_TRADITION:TRADITION_TRENCHWORKS|KIND_TRADITION:TRADITION_DRAFT|KIND_TRADITION:TRADITION_PROJECTION_OF_FORCE|KIND_CONSTRUCTIBLE:WONDER_BRANDENBURG_GATE,3,2,cult_militarism
NODE_CIVIC_MO_MAIN_HEGEMONY,Hegemony,AGE_MODERN,TREE_CIVICS_MO_MAIN,7500,,,NODE_CIVIC_MO_MAIN_GLOBALISM|NODE_CIVIC_MO_MAIN_NATIONALISM,KIND_TRADITION:TRADITION_CULTURAL_IMPERIALISM|KIND_CONSTRUCTIBLE:WONDER_WORLDS_FAIR|KIND_TRADITION:TRADITION_SPHERE_OF_INFLUENCE|KIND_CONSTRUCTIBLE:WONDER_ERAM_GARDEN,3,1,cult_hegemony
NODE_CIVIC_MO_MAIN_FUTURE_CIVIC,Future Civic,AGE_MODERN,TREE_CIVICS_MO_MAIN,8000,,,NODE_CIVIC_MO_MAIN_HEGEMONY|NODE_CIVIC_MO_MAIN_MILITARISM|NODE_CIVIC_MO_MAIN_CAPITALISM,,4,0,cult_futurecivic
