modifier_id,description_clean
EAST_INDIA_COMPANY_I_GOLD_TOWN_BUILDINGS,+2 Gold in Towns. +1 Science in Towns adjacent to Coast.
ENEMY_OF_ALL_NATIONS_MOD_TREASURE_FLEET_CS,+15 Combat Strength for all Military Units against Treasure Convoys.
ENEMY_OF_ALL_NATIONS_MOD_TREASURE_FLEET_EXTRA_VP,+2 Cargo from captured Treasure Convoys.
ETHICS_MOD_WORKER_CULTURE,+1 Culture from Specialists. +1 Happiness Maintenance on Specialists.
EVANGELISM_MOD_CIVILIAN_MOVEMENT,+1 Movement for Civilian Units. +1 charge for Missionaries.
FALSE_RETREAT_FOOD_PILLAGE_BUILDING,Receive Food in all Towns when Pillaging Buildings equal to 50% of the Yield or HP gained. -3 Combat Strength for all Combat Units against Fortified Districts.
FASCISM_MOD_AGENDA,Decrease Relationship with Leaders of the opposing Ideology with the most completed Tech and Civic Masteries.
FIRESIDE_CHATS_MOD_HAPPINESS_PER_POL_ATTRIBUTES,+4 Happiness from Specialists. -3 Gold in Towns.
FRANKLIN_MOD_DIPLO_EVENT_SCIENCE,The First American
FRANKLIN_MOD_PRODUCTION_BUILDING_SCIENCE,The First American
FRANKLIN_MOD_SCIENCE_BUILDING_SCIENCE,The First American
FREE_PRESS_MOD_TOWN_CULTURE_CULTURAL_ATTRIBUTE,Towns gain Culture equal to your Cultural Attribute. -5 Science in Cities.
FREE_SPEECH_MOD_SPECIALIST_HAPPINESS_MAINTENANCE,+50% Food and Happiness towards maintaining Specialists.
GENDARMERIE_MOD_UNHAPPINESS,-4 Happiness in each Settlement without a Garrisoned Unit.
GENERAL_MOROZ_II_MOD_ADJUST_COMBAT_STRENGTH_IN_TUNDRA,+{1_Amount} Combat Strength in Tundra
GIFT_ECONOMY_II_MOD_IMPORTED_RESOURCE_GOLD,+2 Gold and +2 Happiness from imported Resources.
GIFT_ECONOMY_MOD_IMPORTED_RESOURCE_GOLD,+1 Gold and Happiness for every imported Resource.
GRAND_ALLIANCE_MOD_UNIT_MAINTENANCE,+10% Production in Cities and -1 Gold Maintenance for Units for every Alliance you ahve.
GRAND_SECRETARIAT_II_MOD_SCIENCE_BUILDING_GOLD,+3 Science on Gold Buildings and +3 Gold on Science Buildings.
GRAND_SECRETARIAT_MOD_GOLD_BUILDING_SCIENCE,+2 Science on Gold Buildings and +2 Gold on Science buildings.
GREATPERSON_HAPPINESS,Activate on a Happiness building. +10%Happiness in this Settlement.
GULLFOSS_ADJACENT_YIELDS,Gullfoss
HATSHEPSUT_MOD_BUILDING_PRODUCTION_RIVER,God's Wife of Amun
HEALING_CULTS_MOD_ALTAR_GOLD,+5 Happiness on Altars in Infected Settlements but -10 Gold on Altars.
HEALING_CULTS_MOD_ALTAR_PLAGUE_HAPPINESS,+5 Happiness on Altars in Infected Settlements but -10 Gold on Altars.
HELIKHILENAWEWIPE_I_MOD_ADJUST_ENDEAVOR,+33% Influence towards the initiating and progressing the Befriend Independent Project.
HELIKHILENAWEWIPE_MOD_ADJUST_ENDEAVOR,+50% Influence towards the initiating and progressing the Befriend Independent Project.
HEQIN_MOD_CULTURE_ALLIANCES,+5 Culture per Alliance.
HIMIKO_ALT_MOD_CULTURE_BOOST,Miko of Amaterasu
HIMIKO_ALT_MOD_CULTURE_BOOST_CELEBRATION,Miko of Amaterasu
HIMIKO_ALT_MOD_DIPLOMACY_BUILDING_HAPPINESS,Miko of Amaterasu
HIMIKO_ALT_MOD_DIPLOMACY_BUILDING_PRODUCTION_RATE,Miko of Amaterasu
HIMIKO_ALT_MOD_HAPPINESS_BUILDING_HAPPINESS,Miko of Amaterasu
HIMIKO_ALT_MOD_HAPPINESS_BUILDING_PRODUCTION_RATE,Miko of Amaterasu
HIMIKO_ALT_MOD_SCIENCE_PENALTY,Miko of Amaterasu
HIMIKO_ALT_MOD_SCIENCE_PENALTY_CELEBRATION,Miko of Amaterasu
HOERIKWAGGO_ADJACENT_URBAN_YIELDS,Hoerikwaggo
HONOR_MOD_INDEPENDENT_COMBAT,+3 Combat Strength against Independent Powers.
HOSPITALITY_MOD_SUZERAINS,+3 Culture for every City-State you are Suzerain of.
HO_OKUPU_II_MOD_CULTURE_MARINE,"+2 Food on Marine Terrain. Improvements, Buildings, and Districts do not get pillaged by Floods, Volcanic Eruptions, and Hurricanes."
HO_OKUPU_II_MOD_CULTURE_MARINE_UPGRADED,"+2 Food on Marine Terrain. Improvements, Buildings, and Districts do not get pillaged by Floods, Volcanic Eruptions, and Hurricanes."
HO_OKUPU_I_MOD_CULTURE_MARINE,"+1 Food on Marine Terrain. Improvements, Buildings, and Districts do not get pillaged by Floods, Volcanic Eruptions, and Hurricanes."
HUMANISM_MOD_CULTURE_PER_SPECIALIST,+3 Culture from Specialists. +1 Food and Happiness Maintenance on Specialists.
IBN_BATTUTA_MOD_WILDCARD_ATTRIBUTE,+2 Wildcard Attribute Points.
ICONOLATRY_GREAT_WORKS_HAPPINESS,+1 Happiness and Gold from Great Works.
ICONOLATRY_II_GREAT_WORKS_HAPPINESS,+1 Happiness and Gold from Great Works.
ICONOLATRY_II_HIDDEN_FORTRESS_HAPPINESS,+3 Happiness on Hidden Fortresses in Settlements with a Great Work Slot.
IGUAZU_FALLS_ADJACENT_URBAN_YIELDS,Iguazú Falls
IMPOVERISHED_NOBILITY_MOD_COST,+1 Gold Maintenance for Military Units.
INCOMPETENT_MINISTERS_MOD_SETTLEMENT_CAP,-1 Influence in Settlements you founded.
INFERIOR_TACTICS_MOD_INDEPENDENT_COMBAT,-6 Combat Strength against Independent Powers.
INFLUENCE_INDEPENDENT_FRIENDLY_FIRST_GIFT,Independent Power will be friendly with you.
INFLUENCE_INDEPENDENT_FRIENDLY_INVESTMENT,Independent Power will be friendly with you.
INFLUENCE_INDEPENDENT_SUZERAIN_INVESTMENT,"Independent Power will become a City-State, with you as its Suzerain."
INFLUENCE_INDEPENDENT_VERY_HOSTILE_INVESTMENT,Independent Power will be very hostile toward you.
ISA_MOD_RIVER_COMBAT,+5 Combat Strength and +2 Movement for all Units on Navigable Rivers. Minor and Navigable Rivers do not end Unit Movement.
IUS_REFORMANDI_MOD_MIGRANT,"When you convert a Settlement you own, gain a Migrant and damage 3 Buildings in that Settlement."
JINSI_KAMIL_MOD_FARM_FOOD,"+1 Food on Farms for each adjacent Plantation, and on Plantations for each adjacent Farm."
KAKAWFE_PAFKOTAWETA_CULTURE_DISASTERS,"+1 Culture and +2 Gold for every time a Storm, Flood, or Volcanic Eruption has provided Fertility this Age. Improvements, Buildings, and Districts do not get damaged by Storms."
KAPA_MOD_CULTURE_BUILDING_PRODUCTION,+50% Production towards constructing Culture Buildings.
KARA_II_MOD_CLASS_INFANTRY_PRODUCTION,+25% Production towards training Infantry Units. -3 Gold Maintenance for Infantry Units. Infantry Units heal 15 HP after defeating an enemy Unit.
KARA_MOD_CLASS_INFANTRY_PRODUCTION,+25% Production towards training Infantry Units. -2 Gold Maintenance for Infantry Units.
LAISSEZ_FAIRE_MOD_IMPORTED_RESOURCE_GOLD,+2 Gold and +1 Happiness for every imported Resource.
LAND_CLAIM_COMPLETE,Establish a Town at this location.
LAND_HERTIAGE_MOD_MOUNTAIN_HAPPINESS,+2 Happiness on Mountains. +6 Culture on Natural Wonders.
LAST_RESERVES_MOD_UNIT_MOVEMENT,+10% Production in Cities per Hostile Relationship. +1 Movement for all Military Units.
LAZARETTOS_MOD_MAJOR_IMMUNITY,"Buildings, Improvements, and Districts in Coastal Settlements with a Dungeon are not damaged by Major Outbreaks."
LEND_LEASE_MOD_FAVOR_ON_ACTION_SUPPORT,"+1 War Support on all Wars, or +2 if joining a War with an Ally. +25% Production towards training Military Units when fighting a War in which your War Support is higher than your opponent."
LEVIES_MOD_REDUCED_MAINTENANCE,+25% Gold towards purchasing Military Units. -1 Gold Maintenance for Units.
LITERATURE_MOD_SCIENCE_BUILDING_RATE,+2 Science on Science Buildings. +20% Production towards constructing Science Buildings.
LITURGICAL_DISPUTES_MOD_HAPPINESS,-4 Happiness in all Settlements following your Religion.
LIVING_STANDARDS_MOD_BUILDING_MAINTENANCE,+25% Gold and Happiness towards maintaining Buildings.
MARAKKALAM_MOD_HEAVY_NAVAL_MOVEMENT,+1 Combat Strength for Naval Units for every other Civilization with which you have a Trade Route. +1 Movement and Sight for Heavy Naval Units.
MARITAL_LAW_MOD_TOWN_PRODUCTION_PER_MILITARY_ATTRIBUTE,Towns gain Production equal to your Militaristic Attribute. -5 Happiness in Cities.
MARITIME_LAW_MOD_NAVAL_PRODUCTION,+30% Production towards training Naval Units.
MATERIEL_MOD_UNIT_HEALING_RATE,+10 Healing for Units. +1 Movement for Armies and Fleets.
MAYURASANA_I_MOD_PURCHASE_RATE_BUILDINGS,"+5% Gold towards purchasing Units, Improvements, Buildings, and Wonders."
MAYURASANA_MOD_PURCHASE_RATE_BUILDINGS,"+10% Gold towards purchasing Units, Improvements, Buildings, and Wonders."
MEDICINE_MOD_UNIT_HEAL,Units gain +5 Healing.
MEMENTO_ADA_LOVELACE_PIANO_MODIFIER,+10% Culture towards studying Civic Masteries.
MEMENTO_ADA_LOVELACE_PUNCH_CARDS_MODIFIER,Gain 20 Science per Age for every Science Building constructed.
MEMENTO_ALEXANDER_BRIDLE_OF_BUCEPHALUS_MODIFIER_CS,Turn him toward the sun.
MEMENTO_ALEXANDER_DIADEM_MODIFIER_SETTLEMENT_LIMIT,Destined to rule.
MEMENTO_ALEXANDER_ILIAD_MODIFIER,To be a hero.
MEMENTO_AMINA_KWALKWALI_MODIFIER,+1 Gold per Age for each Resource assigned to Cities.
MEMENTO_ASHOKA_RENOUNCER_CHAKRA_MODIFIER,+1 Food in your Capital for every 5 excess Happiness.
MEMENTO_BATTUTA_MERCHANTS_SADDLE_MODIFIER_1,"+1 Movement for Scouts, Merchants, Settlers, and Explorers."
MEMENTO_BATTUTA_MERCHANTS_SADDLE_MODIFIER_2,"+1 Movement for Scouts, Merchants, Settlers, and Explorers."
MEMENTO_BATTUTA_MERCHANTS_SADDLE_MODIFIER_3,"+1 Movement for Scouts, Merchants, Settlers, and Explorers."
MEMENTO_BATTUTA_MERCHANTS_SADDLE_MODIFIER_4,"+1 Movement for Scouts, Merchants, Settlers, and Explorers."
MEMENTO_BOLIVAR_DAVALOS_MEDAL_MODIFIER,+1 Happiness per Age on Military Buildings.
MEMENTO_BOLIVAR_GOLD_SNUFF_BOX_MODIFIER,+20 Food per Age in Cities when in only one Alliance.
MEMENTO_CATHERINE_EAGLE_BANNER_MODIFIER,Cities gain 2% Science per Great Work on display. (Max 20%)
MEMENTO_CATHERINE_GREAT_IMPERIAL_CROWN_MODIFIER,+2 Science per Age in Towns in Tundra.
MEMENTO_CATHERINE_POTEMKINS_SWORD_KNOT_MODIFIER,+1 Movement for Commanders.
MEMENTO_CHARLEMAGNE_JOYEUSE_MODIFIER,+1 Happiness per Age on Cavalry Units Stationed on a Palace or City Hall.
MEMENTO_CHARLEMAGNE_TENCENDUR_MODIFIER,+1 Movement for Cavalry Units.
MEMENTO_EDWARD_TEACH_BRACE_OF_PISTOLS_MODIFIER,+2 Combat Strength for Naval Units while attacking.
MEMENTO_EDWARD_TEACH_FIGUREHEAD_OF_QUEEN_ANNES_REVENGE_MODIFIER,Defeating any Naval Unit grants Gold equal to 25% of its Combat Strength.
MEMENTO_EDWARD_TEACH_MEDICINE_CHEST_MODIFIER,+5 Healing for Naval Units.
MEMENTO_FOUNDATION_AGINCOURT_ARROWHEAD_MODIFIER,+1 Movement for Ranged Units.
MEMENTO_FOUNDATION_CORPUS_JURIS_CIVILIS_MODIFIER,Start with one extra Social Policy Slot.
MEMENTO_FRIEDRICH_BAROQUE_FLUTE_MODIFIER,+1 Culture per Age on Military Buildings.
MEMENTO_FRIEDRICH_OBLIQUE_WALKING_STICK_MODIFIER,+1 Science per Age on Military Buildings.
MEMENTO_GENGHIS_KHAN_PAIZA_MODIFIER,-1 Gold Maintenance on Cavalry Units
MEMENTO_GENGHIS_KHAN_SADDLE_MODIFIER,+1 Food per Age on Cavalry Units Stationed on a Palace or City Hall.
MEMENTO_GENGHIS_KHAN_SULDE_MODIFIER,+1 Culture per Age on Cavalry Units Stationed on a Palace or City Hall.
MEMENTO_GILGAMESH_MIKKU_MODIFIER,+1 Influence in all Settlements while you have exactly one Ally.
MEMENTO_GILGAMESH_PUKKU_MODIFIER,+2 Happiness in all Settlements while you have exactly one Ally.
MEMENTO_HATSHEPSUT_ROYAL_MACE_MODIFIER,+1 Gold per Age for each imported Resource.
MEMENTO_HATSHEPSUT_URAEUS_MODIFIER,+10 Culture per Age in Cities with at least 1 Wonder.
MEMENTO_HIMIKO_QUEEN_GOLDEN_SEAL_STONE_MODIFIER,+1 Influence per Age on Science Buildings.
MEMENTO_HIMIKO_QUEEN_YASAKANI_NO_MAGATAMA_MODIFIER,+2 Science per Age for every Technology Mastery completed.
MEMENTO_HIMIKO_SHAMAN_KUSANAGI_NO_TSURUGI_MODIFIER_1,+3 Culture per Age on Happiness Buildings BUT -1 Science per Age on Happiness Buildings.
MEMENTO_HIMIKO_SHAMAN_KUSANAGI_NO_TSURUGI_MODIFIER_2,+3 Culture per Age on Happiness Buildings BUT -1 Science per Age on Happiness Buildings.
MEMENTO_ISABELLA_PADRON_REAL_MODIFIER,+2 Happiness per Age on Natural Wonders.
MEMENTO_ISABELLA_QUEENS_JEWELRY_MODIFIER,+2 Gold per Age on Natural Wonders.
MEMENTO_LAFAYETTE_HERMIONE_MODEL_MODIFIER_1,+1 Movement for Cavalry Units.
MEMENTO_LAFAYETTE_LETTER_ADRIENNE_MODIFIER_1,+2 Happiness per Age for each Social Policy slotted in your Government.
MEMENTO_LAFAYETTE_LETTER_ADRIENNE_MODIFIER_2,+2 Happiness per Age for each Social Policy slotted in your Government.
MEMENTO_LAKSHMIBAI_BAADALS_REINS_MODIFIER,+1 Influence per Age per Pasture Improvement.
MEMENTO_MACHIAVELLI_DISCORSI_SOPRA_LIVIO_MODIFIER,Costs opponents 50% more Influence to reject your Diplomatic Actions.
MEMENTO_NAPOLEON_EMPEROR_GREEN_COLONEL_JACKET_MODIFIER_1,"+1 Gold per Age per Trade Route, doubled if you have the highest number of Trade Routes."
MEMENTO_NAPOLEON_EMPEROR_GREEN_COLONEL_JACKET_MODIFIER_2,"+1 Gold per Age per Trade Route, doubled if you have the highest number of Trade Routes."
MEMENTO_NAPOLEON_REVOLUTIONARY_BICORNE_HAT_MODIFIER,+1 Movement for Infantry Units.
MEMENTO_PACHACUTI_TOPAYAURI_MODIFIER,+1 Food per Age on Districts adjacent to Mountains.
MEMENTO_SAYYIDA_AL_HURRA_GAZELLE_VASE_MODIFIER,Gain 25 Culture per Age for every Diplomatic Action accepted by another Leader.
MEMENTO_SAYYIDA_AL_HURRA_MITHQAL_MODIFIER,+2 Gold per Age in Settlements with a Naval Unit Stationed on a District.
MEMENTO_SAYYIDA_AL_HURRA_NIMCHA_MODIFIER,-1 Gold Maintenance on Naval Units.
MEMENTO_TECUMSEH_POTESKWATE_MODIFIER,+1 Food per Age in Towns for each City-State you are Suzerain of.
MEMENTO_TECUMSEH_WAMPUM_BELT_MODIFIER,+1 Production per Age in Cities for each City-State you are Suzerain of.
MEMENTO_XERXES_ACHAEMENID_INCENSE_CENSER_MODIFIER,+2 Culture per Age for every active Trade Route.
MEMENTO_XERXES_KING_GOLDEN_SCEPTRE_MODIFIER,Extends favor.
METROPOLE_MOD_RESOURCE_CAPACITY,+1 Resource Capacity in all Cities in Homelands. +10 Range for all Trade Routes.
MIASMA_MOD_CITY_GROWTH,Gain 1 Migrant when a City is Infected but -25% Growth Rate in Cities.
MIASMA_MOD_GRANT_MIGRANTS,Gain 1 Migrant when a City is Infected but -25% Growth Rate in Cities.
MILITARY_INDUSTRIAL_COMPLEX_MOD_UNIT_PRODUCTION_RATE,"+50% Production towards training all Military Units, but +1 Gold Maintenance for all Units."
MOD_ABILITY_ARMY_SERVICE,+1 Movement for Land Units within the Command Radius.
MOD_ABILITY_FLEET_SERVICE,+1 Movement for Naval Units within the Command Radius.
MOD_ABILITY_SQUADRON_SERVICE,+2 Movement for packed Air Units.
MOD_ACHARYA_PANTHEON,"Unlocks founding a Pantheon, or grants an additional belief if you have already founded one."
MOD_AMBASSADORS_DIPLOMACY,+6 Influence per turn.
MOD_AQ_CITY_RESOURCE_GDP,+1 GDP per turn for Resources assigned to Cities (not Towns).
MOD_AQ_CODEX_CIVIC,Gain 1 Codex.
MOD_AQ_CODEX_REDUX,Gain 1 Codex.
MOD_AQ_ENTERTAINMENT_CELEBRATION_VP,+2 Tourism for Celebrations.
MOD_AQ_FREE_MERCHANT,Gain a free Merchant.
MOD_AQ_FUTURE_CIVIC_AGE_PROGRESS,+10 Age Progress.
MOD_AQ_FUTURE_CIVIC_ATTRIBUTE,+1 Random Attribute Point.
MOD_AQ_FUTURE_CIVIC_BOOST,A boost for a non-Civilization-unique starting Civic in the next age.
MOD_AQ_FUTURE_CIVIC_CULTURE_VP,Grants 5 Tourism
MOD_AQ_FUTURE_TECH_AGE_PROGRESS,+10 Age Progress.
MOD_AQ_FUTURE_TECH_ATTRIBUTE,+1 Random Attribute Point.
MOD_AQ_FUTURE_TECH_BOOST,A boost for a starting Tech in the next Age.
MOD_AQ_FUTURE_TECH_SCIENCE_VP,Grants 2 Innovation
MOD_AQ_GOLD_BUILDING_GDP,+2 GDP per turn from Gold Buildings.
MOD_AQ_LITERACY_SCIENCE_VP,Grants 2 Innovation.
MOD_AQ_MATHEMATICS_CODEX_REDUX,Gain 2 Codices.
MOD_AQ_QING_FREE_MERCHANT,Gain a free Merchant.
MOD_AQ_SETTLEMENT_CAP_INCREASE,+1 Settlement Limit.
MOD_AQ_SKILLED_TRADE_GDP,+1 GDP per turn for imported Resources assigned to Cities (not Towns).
MOD_AQ_SPECIALIST_CAP_INCREASE,+1 Specialist Limit in all Cities.
MOD_AQ_TECH_CULTURE_BUILDING,+1 Culture on Culture Buildings.
MOD_AQ_TECH_FOOD_BUILDING,+1 Food on Food Buildings.
MOD_AQ_TECH_GOLD_BUILDING,+1 Gold on Gold Buildings.
MOD_AQ_TECH_HAPPINESS_BUILDING,+1 Happiness on Happiness Buildings.
MOD_AQ_TECH_INFANTRY_STRENGTH,+3 Combat Strength for Infantry Units.
MOD_AQ_TECH_MILITARY_BUILDING,+2 Production on Military Buildings.
MOD_AQ_TECH_NAVAL_STRENGTH,+3 Combat Strength for Naval Units.
MOD_AQ_TECH_PRODUCTION_BUILDING,+1 Production on Production Buildings.
MOD_AQ_TECH_RANGED_STRENGTH,+3 Combat Strength for Ranged and Siege Units.
MOD_AQ_TECH_SCIENCE_BUILDING,+1 Science on Science Buildings.
MOD_AQ_TECH_SIEGE_MOVEMENT,+1 Movement for Siege Units.
MOD_AQ_TECH_UNLOCK_UNIT_FLANKING,Unlocks Unit Flanking.
MOD_AQ_TECH_WALL_STRENGTH,+3 Combat Strength for Fortified Districts.
MOD_AQ_TRADITION_SLOT,+1 Social Policy slot.
MOD_ASSYRIAN_CODEX,Gain 1 Codex.
MOD_ATTRIBUTE_CULTURAL_01_A,+1Culture Culture per Age on the Palace and City Halls.
MOD_ATTRIBUTE_CULTURAL_02,+10% Production towards constructing Wonders.
MOD_ATTRIBUTE_CULTURAL_03,+25% Culture towards studying Civic Masteries.
MOD_ATTRIBUTE_CULTURAL_04,+5 Culture per Age in Cities with at least 1 Wonder.
MOD_ATTRIBUTE_CULTURAL_05,+1 Culture in Settlements for each Resource assigned to them.
MOD_ATTRIBUTE_CULTURAL_06,+1 Culture per Age from Great Works on display.
MOD_ATTRIBUTE_CULTURAL_07_A,"+1 Culture from Specialists, or +2 if you have 3 or fewer Cities."
MOD_ATTRIBUTE_CULTURAL_08,+10 Culture per Age for every Alliance you have.
MOD_ATTRIBUTE_CULTURAL_09_A,"+1 Culture per Age in Towns, or +2 in Distant Lands."
