node_type,name,age,tree,cost,description_raw,description_clean,prereqs,unlocks,column_pos,row_pos,era_group
NODE_TECH_AQ_MILITARY_TRAINING,Military Training,AGE_ANTIQUITY,TREE_TECHS_AQ,430,,,NODE_TECH_AQ_BRONZE_WORKING|NODE_TECH_AQ_WHEEL,CONSTRUCTIBLE:BUILDING_ARENA|CONSTRUCTIBLE:BUILDING_BLACKSMITH|MODIFIER:MOD_AQ_CODEX_REDUX|MODIFIER:MOD_AQ_TECH_RANGED_STRENGTH|MODIFIER:MOD_AQ_TECH_SIEGE_STRENGTH|MODIFIER:MOD_AQ_TECH_UNLOCK_UNIT_FLANKING,,,TREE_TECHS_AQ
NODE_TECH_AQ_NAVIGATION,Navigation,AGE_ANTIQUITY,TREE_TECHS_AQ,430,,,NODE_TECH_AQ_CURRENCY,CONSTRUCTIBLE:BUILDING_LIGHTHOUSE|CONSTRUCTIBLE:WONDER_GREAT_LIGHTHOUSE|CONSTRUCTIBLE:WONDER_HA_AMONGA_A_MAUI|MODIFIER:MOD_AQ_CODEX_REDUX|MODIFIER:MOD_AQ_TECH_NAVAL_STRENGTH|MODIFIER:PIRATE_AQ_MOD_FREE_SETTLER[TRAIT_PIRATE_REPUBLIC]|PROJECT:PROJECT_CHART_THE_STARS|UNIT:UNIT_DHOW_2[TRAIT_AKSUM]|UNIT:UNIT_KALIA_2[TRAIT_TONGA]|UNIT:UNIT_QUADRIREME,,,TREE_TECHS_AQ
NODE_TECH_AQ_POTTERY,Pottery,AGE_ANTIQUITY,TREE_TECHS_AQ,70,,,NODE_TECH_AQ_AGRICULTURE,CONSTRUCTIBLE:BUILDING_BRICKYARD|MODIFIER:MOD_TECH_AQ_WET_PRODUCTION,,,TREE_TECHS_AQ
NODE_TECH_AQ_SAILING,Sailing,AGE_ANTIQUITY,TREE_TECHS_AQ,70,,,NODE_TECH_AQ_AGRICULTURE,CONSTRUCTIBLE:BUILDING_HARBOR|MODIFIER:MOD_SAILING_EMBARKATION_NOT_TEHINA|MODIFIER:PIRATE_AQ_MOD_FREE_SETTLER[TRAIT_PIRATE_REPUBLIC]|UNIT:UNIT_DHOW[TRAIT_AKSUM]|UNIT:UNIT_GALLEY|UNIT:UNIT_KALIA[TRAIT_TONGA],,,TREE_TECHS_AQ
NODE_TECH_AQ_WHEEL,The Wheel,AGE_ANTIQUITY,TREE_TECHS_AQ,245,,,NODE_TECH_AQ_IRRIGATION|NODE_TECH_AQ_MASONRY,CONSTRUCTIBLE:BUILDING_VILLA|DIPLOMATIC_ACTION:DIPLOMACY_ACTION_ESPIONAGE_MILITARY_INFILTRATION|MODIFIER:MOD_AQ_CITY_RESOURCE_GDP|MODIFIER:MOD_AQ_CODEX_REDUX|MODIFIER:MOD_AQ_TECH_SIEGE_MOVEMENT|UNIT:UNIT_BALLISTA|UNIT:UNIT_CHARIOT|UNIT:UNIT_DANTINAS_TATHA[TRAIT_KHMER]|UNIT:UNIT_MAGARRU[TRAIT_ASSYRIA]|UNIT:UNIT_NUMIDIAN_CAVALRY[TRAIT_CARTHAGE]|UNIT:UNIT_PURABHETTARAH[TRAIT_MAURYA],,,TREE_TECHS_AQ
NODE_TECH_AQ_WRITING,Writing,AGE_ANTIQUITY,TREE_TECHS_AQ,125,,,NODE_TECH_AQ_POTTERY,CONSTRUCTIBLE:BUILDING_LIBRARY|DIPLOMATIC_ACTION:DIPLOMACY_ACTION_ESPIONAGE_STEAL_TECH|MODIFIER:MOD_AQ_CODEX_REDUX|PROJECT:PROJECT_CITY_SCIENCE_PROJECT,,,TREE_TECHS_AQ
NODE_TECH_EX_ARCHITECTURE,Architecture,AGE_EXPLORATION,TREE_TECHS_EX,1900,,,NODE_TECH_EX_EDUCATION|NODE_TECH_EX_SHIPBUILDING,CONSTRUCTIBLE:BUILDING_MENAGERIE|CONSTRUCTIBLE:BUILDING_PAVILION|CONSTRUCTIBLE:WONDER_FORBIDDEN_CITY|MODIFIER:MOD_TECH_EX_ARCHITECTURE_SCIENCE_VP|MODIFIER:MOD_TECH_EX_RELIC_SLOT_PAVILION,,,TREE_TECHS_EX
NODE_TECH_EX_ASTRONOMY,Astronomy,AGE_EXPLORATION,TREE_TECHS_EX,525,,,,CONSTRUCTIBLE:BUILDING_OBSERVATORY|CONSTRUCTIBLE:WONDER_SERPENT_MOUND|UNIT:UNIT_BUCCANEER[TRAIT_PIRATE_REPUBLIC]|UNIT:UNIT_FLEET_COMMANDER|UNIT:UNIT_OTTRU[TRAIT_CHOLA],,,TREE_TECHS_EX
NODE_TECH_EX_CARTOGRAPHY,Cartography,AGE_EXPLORATION,TREE_TECHS_EX,525,,,,CONSTRUCTIBLE:BUILDING_WHARF|MODIFIER:MOD_OCEAN_CIVILIAN|MODIFIER:MOD_OCEAN_COMMAND,,,TREE_TECHS_EX
NODE_TECH_EX_CASTLES,Castles,AGE_EXPLORATION,TREE_TECHS_EX,870,,,NODE_TECH_EX_MACHINERY,CONSTRUCTIBLE:BUILDING_DUNGEON|CONSTRUCTIBLE:BUILDING_MEDIEVAL_WALLS|CONSTRUCTIBLE:WONDER_THANH_HUE|DIPLOMATIC_ACTION:DIPLOMACY_ACTION_ESPIONAGE_OPEN_THE_GATES|MODIFIER:MOD_EX_TECH_WALL_STRENGTH|UNIT:UNIT_CROSSBOWMAN|UNIT:UNIT_KESHIG_2[TRAIT_MONGOLIA]|UNIT:UNIT_VOI_CHIEN_2[TRAIT_DAI_VIET]|UNIT:UNIT_WARAKAQ_2[TRAIT_INCA],,,TREE_TECHS_EX
NODE_TECH_EX_EDUCATION,Education,AGE_EXPLORATION,TREE_TECHS_EX,1300,,,NODE_TECH_EX_FEUDALISM|NODE_TECH_EX_GUILDS,CONSTRUCTIBLE:BUILDING_UNIVERSITY|CONSTRUCTIBLE:WONDER_SHWEDAGON_ZEDI_DAW|MODIFIER:MOD_EX_RELIC_REDUX|MODIFIER:MOD_EX_SPECIALIST_CAP_INCREASE|PROJECT:PROJECT_HELIOCENTRIC_MODEL,,,TREE_TECHS_EX
NODE_TECH_EX_FEUDALISM,Feudalism,AGE_EXPLORATION,TREE_TECHS_EX,870,,,NODE_TECH_EX_ASTRONOMY|NODE_TECH_EX_CARTOGRAPHY,CONSTRUCTIBLE:BUILDING_MEDIEVAL_BRIDGE|CONSTRUCTIBLE:BUILDING_TAVERN|CONSTRUCTIBLE:WONDER_NAN_MADOL|MODIFIER:MOD_EX_SETTLEMENT_CAP_INCREASE|MODIFIER:MOD_TECH_EX_FOOD_FARM_FARMING|MODIFIER:MOD_TECH_EX_FOOD_FARM_FISHING|MODIFIER:MOD_TECH_EX_FOOD_FARM_FORT,,,TREE_TECHS_EX
NODE_TECH_EX_FUTURE_TECH,Future Tech,AGE_EXPLORATION,TREE_TECHS_EX,4250,,,NODE_TECH_EX_GUNPOWDER|NODE_TECH_EX_URBAN_PLANNING,MODIFIER:MOD_EX_FUTURE_TECH_AGE_PROGRESS|MODIFIER:MOD_EX_FUTURE_TECH_ATTRIBUTE|MODIFIER:MOD_EX_FUTURE_TECH_BOOST|MODIFIER:MOD_EX_FUTURE_TECH_SCIENCE_VP,,,TREE_TECHS_EX
NODE_TECH_EX_GUILDS,Guilds,AGE_EXPLORATION,TREE_TECHS_EX,870,,,NODE_TECH_EX_CARTOGRAPHY,CONSTRUCTIBLE:BUILDING_GUILDHALL|CONSTRUCTIBLE:BUILDING_KILN|MODIFIER:MOD_EX_RELIC_REDUX|MODIFIER:MOD_TECH_EX_TRADE_RANGE_LAND|MODIFIER:MOD_TECH_EX_TRADE_RANGE_SEA,,,TREE_TECHS_EX
NODE_TECH_EX_GUNPOWDER,Gunpowder,AGE_EXPLORATION,TREE_TECHS_EX,3625,,,NODE_TECH_EX_METAL_CASTING,UNIT:UNIT_ARQUEBUSIER|UNIT:UNIT_BOMBARD|UNIT:UNIT_CETBANG_3[TRAIT_MAJAPAHIT]|UNIT:UNIT_CORSAIR_3[TRAIT_LEADER_MINOR_CIV]|UNIT:UNIT_GALLEON|UNIT:UNIT_KALAM_3[TRAIT_CHOLA]|UNIT:UNIT_KESHIG_3[TRAIT_MONGOLIA]|UNIT:UNIT_PRIVATEER_2|UNIT:UNIT_SLOOP_3[TRAIT_PIRATE_REPUBLIC]|UNIT:UNIT_VIKINGR_3[TRAIT_ICELAND]|UNIT:UNIT_VOI_CHIEN_3[TRAIT_DAI_VIET]|UNIT:UNIT_WARAKAQ_3[TRAIT_INCA],,,TREE_TECHS_EX
NODE_TECH_EX_HERALDRY,Heraldry,AGE_EXPLORATION,TREE_TECHS_EX,870,,,NODE_TECH_EX_ASTRONOMY|NODE_TECH_EX_MACHINERY,CONSTRUCTIBLE:WONDER_RILA_MONASTERY|MODIFIER:MOD_EX_RELIC_REDUX|MODIFIER:MOD_EX_TECH_INFANTRY_STRENGTH|UNIT:UNIT_BOYAR_2[TRAIT_BULGARIA]|UNIT:UNIT_CHEVALER_2[TRAIT_NORMAN]|UNIT:UNIT_GOLD_BANGLES_2[TRAIT_SONGHAI]|UNIT:UNIT_KISPOKO_NENA_TO_2[TRAIT_SHAWNEE]|UNIT:UNIT_KNIGHT|UNIT:UNIT_LEIOMANO_2[TRAIT_HAWAII]|UNIT:UNIT_MAMLUK_2[TRAIT_ABBASID]|UNIT:UNIT_MAN_AT_ARMS|UNIT:UNIT_PRIVATEER|UNIT:UNIT_SLOOP_2[TRAIT_PIRATE_REPUBLIC]|UNIT:UNIT_TERCIO_2[TRAIT_SPAIN]|UNIT:UNIT_XUNLEICHONG_2[TRAIT_MING],,,TREE_TECHS_EX
NODE_TECH_EX_MACHINERY,Machinery,AGE_EXPLORATION,TREE_TECHS_EX,525,,,,CONSTRUCTIBLE:BUILDING_GRISTMILL|CONSTRUCTIBLE:BUILDING_SAWMILL,,,TREE_TECHS_EX
NODE_TECH_EX_METALLURGY,Metallurgy,AGE_EXPLORATION,TREE_TECHS_EX,1300,,,NODE_TECH_EX_CASTLES|NODE_TECH_EX_HERALDRY,CONSTRUCTIBLE:BUILDING_ARMORER|MODIFIER:MOD_EX_TECH_RANGED_STRENGTH|MODIFIER:MOD_EX_TECH_SIEGE_STRENGTH|MODIFIER:MOD_TECH_EX_METALLURGY_SCIENCE_VP|UNIT:UNIT_TREBUCHET,,,TREE_TECHS_EX
NODE_TECH_EX_METAL_CASTING,Metal Casting,AGE_EXPLORATION,TREE_TECHS_EX,1900,,,NODE_TECH_EX_METALLURGY|NODE_TECH_EX_SHIPBUILDING,MODIFIER:MOD_EX_TECH_CAVALRY_STRENGTH|MODIFIER:MOD_TECH_EX_METAL_CASTING_SCIENCE_VP|UNIT:UNIT_BOYAR_3[TRAIT_BULGARIA]|UNIT:UNIT_CHEVALER_3[TRAIT_NORMAN]|UNIT:UNIT_GOLD_BANGLES_3[TRAIT_SONGHAI]|UNIT:UNIT_KISPOKO_NENA_TO_3[TRAIT_SHAWNEE]|UNIT:UNIT_LANCER|UNIT:UNIT_LEIOMANO_3[TRAIT_HAWAII]|UNIT:UNIT_MAMLUK_3[TRAIT_ABBASID]|UNIT:UNIT_PIKEMAN|UNIT:UNIT_TERCIO_3[TRAIT_SPAIN]|UNIT:UNIT_XUNLEICHONG_3[TRAIT_MING],,,TREE_TECHS_EX
NODE_TECH_EX_SHIPBUILDING,Shipbuilding,AGE_EXPLORATION,TREE_TECHS_EX,1300,,,NODE_TECH_EX_FEUDALISM|NODE_TECH_EX_HERALDRY,CONSTRUCTIBLE:BUILDING_SHIPYARD|CONSTRUCTIBLE:WONDER_HAVANA_HARBOR|MODIFIER:MOD_EX_TECH_NAVAL_STRENGTH|MODIFIER:MOD_TECH_EX_NAVAL_AUTO_EXPLORE|MODIFIER:MOD_TECH_EX_NO_OCEAN_DAMAGE|MODIFIER:MOD_TECH_EX_NO_OCEAN_DAMAGE_CIVILLIAN_SUPPORT|MODIFIER:MOD_TECH_EX_NO_OCEAN_OBSTACLE|MODIFIER:MOD_TECH_EX_SHIPBUILDING_SCIENCE_VP|MODIFIER:MOD_TECH_OCEAN_TRAVEL_EMBARKED|UNIT:UNIT_CARRACK|UNIT:UNIT_CETBANG_2[TRAIT_MAJAPAHIT]|UNIT:UNIT_CORSAIR_2[TRAIT_LEADER_MINOR_CIV]|UNIT:UNIT_KALAM_2[TRAIT_CHOLA]|UNIT:UNIT_VIKINGR_2[TRAIT_ICELAND],,,TREE_TECHS_EX
NODE_TECH_EX_URBAN_PLANNING,Urban Planning,AGE_EXPLORATION,TREE_TECHS_EX,3625,,,NODE_TECH_EX_ARCHITECTURE,CONSTRUCTIBLE:BUILDING_BANK|CONSTRUCTIBLE:BUILDING_HOSPITAL|CONSTRUCTIBLE:WONDER_MACHU_PIKCHU|MODIFIER:MOD_EX_SPECIALIST_CAP_INCREASE|PROJECT:PROJECT_INVENT_CALCULUS,,,TREE_TECHS_EX
NODE_TECH_MO_ACADEMICS,Academics,AGE_MODERN,TREE_TECHS_MO,1400,,,,CONSTRUCTIBLE:BUILDING_SCHOOLHOUSE|CONSTRUCTIBLE:WONDER_OXFORD_UNIVERSITY,2,0,TREE_TECHS_MO
NODE_TECH_MO_URBANIZATION,Urbanization,AGE_MODERN,TREE_TECHS_MO,2425,,,NODE_TECH_MO_ACADEMICS|NODE_TECH_MO_STEAM_ENGINE,CONSTRUCTIBLE:BUILDING_DEPARTMENT_STORE|CONSTRUCTIBLE:BUILDING_MODERN_BRIDGE|CONSTRUCTIBLE:BUILDING_OPERA_HOUSE|CONSTRUCTIBLE:WONDER_UBUDIAH_MOSQUE|MODIFIER:MOD_MO_SETTLEMENT_CAP_INCREASE|MODIFIER:MOD_TECH_MO_URBANIZATION_CITY_POP,3,2,TREE_TECHS_MO
NODE_TECH_MO_ELECTRICITY,Electricity,AGE_MODERN,TREE_TECHS_MO,2425,,,NODE_TECH_MO_ACADEMICS,CONSTRUCTIBLE:BUILDING_LABORATORY|CONSTRUCTIBLE:WONDER_BATTERSEA_POWER_STATION|MODIFIER:MOD_MO_SPECIALIST_CAP_INCREASE|MODIFIER:MOD_TECH_MO_ELECTRICITY_SCIENCE_VP,3,4,TREE_TECHS_MO
NODE_TECH_MO_FLIGHT,Flight,AGE_MODERN,TREE_TECHS_MO,3000,,,NODE_TECH_MO_COMBUSTION|NODE_TECH_MO_URBANIZATION,CONSTRUCTIBLE:BUILDING_AIRFIELD|MODIFIER:MOD_MO_TECH_INTERCEPT_RANGE|MODIFIER:MOD_TECH_MO_FLIGHT_CULTURE_VP|PROJECT:PROJECT_TRANS_OCEANIC_FLIGHT|UNIT:UNIT_BIPLANE|UNIT:UNIT_BOMBER|UNIT:UNIT_SQUADRON_COMMANDER|UNIT:UNIT_STUKA[TRAIT_PRUSSIA]|UNIT:UNIT_TRENCH_FIGHTER|UNIT:UNIT_ZERO[TRAIT_MEIJI],3,6,TREE_TECHS_MO
NODE_TECH_MO_AERODYNAMICS,Aerodynamics,AGE_MODERN,TREE_TECHS_MO,6000,,,NODE_TECH_MO_ARMOR|NODE_TECH_MO_COMPUTATION|NODE_TECH_MO_MOBILIZATION,MODIFIER:MOD_MO_TECH_AIRCRAFT_STRENGTH|MODIFIER:MOD_TECH_MO_AERODYNAMICS_SCIENCE_VP|PROJECT:PROJECT_BREAK_SOUND_BARRIER|UNIT:UNIT_DIVEBOMBER|UNIT:UNIT_FIGHTER|UNIT:UNIT_HEAVY_BOMBER|UNIT:UNIT_STUKA_2[TRAIT_PRUSSIA]|UNIT:UNIT_ZERO_2[TRAIT_MEIJI],3,8,TREE_TECHS_MO
NODE_TECH_MO_ROCKETRY,Rocketry,AGE_MODERN,TREE_TECHS_MO,8500,,,NODE_TECH_MO_AERODYNAMICS,CONSTRUCTIBLE:BUILDING_LAUNCH_PAD|DIPLOMATIC_ACTION:DIPLOMACY_ACTION_ESPIONAGE_SABOTAGE_SPACE_PROGRAM|MODIFIER:MOD_TECH_MO_ROCKETRY_SCIENCE_VP|PROJECT:PROJECT_CREWED_SPACE_FLIGHT_PREP|PROJECT:PROJECT_LAUNCH_SATELLITE,3,10,TREE_TECHS_MO
NODE_TECH_MO_STEAM_ENGINE,Steam Engine,AGE_MODERN,TREE_TECHS_MO,1400,,,,CONSTRUCTIBLE:BUILDING_IRONWORKS|CONSTRUCTIBLE:BUILDING_PORT|UNIT:UNIT_BARBARY_CORSAIR[TRAIT_OTTOMANS]|UNIT:UNIT_IRONCLAD,4,0,TREE_TECHS_MO
NODE_TECH_MO_MASS_PRODUCTION,Mass Production,AGE_MODERN,TREE_TECHS_MO,3000,,,NODE_TECH_MO_COMBUSTION|NODE_TECH_MO_INDUSTRIALIZATION,CONSTRUCTIBLE:BUILDING_CANNERY|CONSTRUCTIBLE:BUILDING_FACTORY|DIPLOMATIC_ACTION:DIPLOMACY_ACTION_ESPIONAGE_SABOTAGE_SHIPPING|MODIFIER:MOD_MO_FACTORY_RESOURCE_GDP|MODIFIER:MOD_MO_SETTLEMENT_CAP_INCREASE,5,2,TREE_TECHS_MO
NODE_TECH_MO_INDUSTRIALIZATION,Industrialization,AGE_MODERN,TREE_TECHS_MO,2425,,,NODE_TECH_MO_MILITARY_SCIENCE,CONSTRUCTIBLE:BUILDING_RAIL_STATION|MODIFIER:MOD_MO_TECH_INFANTRY_STRENGTH|MODIFIER:MOD_TECH_MO_INDUSTRIALIZATION_CULTURE_VP_UI|MODIFIER:MOD_TECH_MO_INDUSTRIALIZATION_SCIENCE_VP|UNIT:UNIT_ABAMBOWA_2[TRAIT_BUGANDA]|UNIT:UNIT_CHANG_BEUN_2[TRAIT_SIAM]|UNIT:UNIT_FIELD_GUN|UNIT:UNIT_GARDE_IMPERIALE_2[TRAIT_FRENCH_EMPIRE]|UNIT:UNIT_GURKHA_2[TRAIT_NEPAL]|UNIT:UNIT_GUSA_2[TRAIT_QING]|UNIT:UNIT_HEAVY_ARTILLERY|UNIT:UNIT_JANISSARY_2[TRAIT_OTTOMANS]|UNIT:UNIT_KATYUSHA[TRAIT_RUSSIA]|UNIT:UNIT_MARINE[TRAIT_AMERICA]|UNIT:UNIT_PARTISAN_2[TRAIT_LEADER_MINOR_CIV]|UNIT:UNIT_RIFLEMAN|UNIT:UNIT_SEPOY_2[TRAIT_MUGHAL]|UNIT:UNIT_SOLDADERAS_2[TRAIT_MEXICO],5,4,TREE_TECHS_MO
NODE_TECH_MO_COMBUSTION,Combustion,AGE_MODERN,TREE_TECHS_MO,2425,,,NODE_TECH_MO_MILITARY_SCIENCE|NODE_TECH_MO_STEAM_ENGINE,MODIFIER:MOD_MO_TECH_CAVALRY_STRENGTH|MODIFIER:MOD_TECH_MO_COMBUSTION_SCIENCE_VP|UNIT:UNIT_BARBARY_CORSAIR_2[TRAIT_OTTOMANS]|UNIT:UNIT_COSSACK_2[TRAIT_RUSSIA]|UNIT:UNIT_CRUISER|UNIT:UNIT_DREADNOUGHT|UNIT:UNIT_GHILMAN_2[TRAIT_QAJAR]|UNIT:UNIT_HUSSAR_2[TRAIT_PRUSSIA]|UNIT:UNIT_LANDSHIP|UNIT:UNIT_MIKASA[TRAIT_MEIJI]|UNIT:UNIT_REVENGE[TRAIT_GREAT_BRITAIN],5,6,TREE_TECHS_MO
NODE_TECH_MO_MOBILIZATION,Mobilization,AGE_MODERN,TREE_TECHS_MO,4000,,,NODE_TECH_MO_FLIGHT,MODIFIER:MOD_MO_TECH_NAVAL_STRENGTH|UNIT:UNIT_BARBARY_CORSAIR_3[TRAIT_OTTOMANS]|UNIT:UNIT_BATTLESHIP|UNIT:UNIT_CARRIER_COMMANDER|UNIT:UNIT_DESTROYER|UNIT:UNIT_MIKASA_2[TRAIT_MEIJI]|UNIT:UNIT_REVENGE_2[TRAIT_GREAT_BRITAIN]|UNIT:UNIT_SUBMARINE,5,8,TREE_TECHS_MO
NODE_TECH_MO_NUCLEAR_FISSION,Nuclear Fission,AGE_MODERN,TREE_TECHS_MO,8500,,,NODE_TECH_MO_AERODYNAMICS,CONSTRUCTIBLE:WONDER_MANHATTAN_PROJECT,5,10,TREE_TECHS_MO
NODE_TECH_MO_MILITARY_SCIENCE,Military Science,AGE_MODERN,TREE_TECHS_MO,1400,,,,CONSTRUCTIBLE:BUILDING_DEFENSIVE_FORTIFICATIONS|CONSTRUCTIBLE:BUILDING_MILITARY_ACADEMY|CONSTRUCTIBLE:WONDER_RED_FORT,6,0,TREE_TECHS_MO
NODE_TECH_MO_RADIO,Radio,AGE_MODERN,TREE_TECHS_MO,3000,,,NODE_TECH_MO_ELECTRICITY|NODE_TECH_MO_URBANIZATION,CONSTRUCTIBLE:BUILDING_RADIO_STATION|CONSTRUCTIBLE:BUILDING_TENEMENT|CONSTRUCTIBLE:WONDER_EIFFEL_TOWER|MODIFIER:MOD_TECH_MO_RADIO_SCIENCE_VP|PROJECT:PROJECT_CREWED_SPACE_FLIGHT_RESEARCH,7,4,TREE_TECHS_MO
NODE_TECH_MO_COMPUTATION,Computation,AGE_MODERN,TREE_TECHS_MO,4000,,,NODE_TECH_MO_RADIO,CONSTRUCTIBLE:BUILDING_STOCK_EXCHANGE|MODIFIER:MOD_TECH_MO_SPECIALIST_HAPPINESS_MAINTENANCE,7,8,TREE_TECHS_MO
