bonus_type,city_state_type,age,name,description_raw,description_clean,shareable
CITY_STATE_DIPLOMATIC_BONUS_ANTIQUITY_4,DIPLOMATIC,AGE_ANTIQUITY,Amarna Letters,+20% [icon:YIELD_DIPLOMACY]Influence towards starting and supporting [icon:ENDEAVOR]Endeavors and [icon:SANCTIONS]Sanctions for each [icon:CITYSTATE]Diplomatic [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+20% Influence towards starting and supporting Endeavors and Sanctions for each Diplomatic City-State you are Suzerain of.,0
CITY_STATE_DIPLOMATIC_BONUS_ANTIQUITY_5,DIPLOMATIC,AGE_ANTIQUITY,Scytale,+20% [icon:YIELD_DIPLOMACY]Influence towards starting [icon:ESPIONAGE]Espionage Actions for each [icon:CITYSTATE]Diplomatic [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of. They complete 25% faster.,+20% Influence towards starting Espionage Actions for each Diplomatic City-State you are Suzerain of. They complete 25% faster.,0
CITY_STATE_DIPLOMATIC_BONUS_ANTIQUITY_6,DIPLOMATIC,AGE_ANTIQUITY,Achara,+1 [icon:NAR_REW_TRADITION_SLOT]Social Policy Slot.,+1 Social Policy Slot.,0
CITY_STATE_DIPLOMATIC_BONUS_ANTIQUITY_7,DIPLOMATIC,AGE_ANTIQUITY,Gift Exchange,+1 [icon:YIELD_HAPPINESS]Happiness on Granaries and Brickyards. This bonus can be chosen by multiple Civilizations.,+1 Happiness on Granaries and Brickyards. This bonus can be chosen by multiple Civilizations.,1
CITY_STATE_BONUS_ANTIQUITY_11,ECONOMIC,AGE_ANTIQUITY,Emporium,"Allows the construction of the Emporium Unique Improvement. [n]The Emporium provides +2 [icon:YIELD_GOLD] Gold. +2 [icon:YIELD_GOLD] Gold in [icon:YIELD_CITIES] Cities if they have at least one [icon:RADIAL_RESOURCES] Resource assigned to them. Must be placed on an existing [icon:CITY_RURAL] Improvement, and cannot be placed adjacent to another Emporium.","Allows the construction of the Emporium Unique Improvement. The Emporium provides +2 Gold. +2 Gold in Cities if they have at least one Resource assigned to them. Must be placed on an existing Improvement, and cannot be placed adjacent to another Emporium.",0
CITY_STATE_BONUS_ANTIQUITY_12,ECONOMIC,AGE_ANTIQUITY,Mensarii,+4[icon:YIELD_GOLD]Gold on [icon:YIELD_GOLD]Gold Buildings.,+4Gold on Gold Buildings.,0
CITY_STATE_BONUS_ANTIQUITY_13,ECONOMIC,AGE_ANTIQUITY,Gemstones,Receive the Lapis Lazuli [icon:RADIAL_RESOURCES] Resource in the [icon:NOTIFICATION_SELECT_CAPITAL]Capital. [n]Lapis Lazuli provides +4[icon:YIELD_PRODUCTION] Production and +5%[icon:YIELD_GOLD]Gold.,Receive the Lapis Lazuli Resource in the Capital. Lapis Lazuli provides +4 Production and +5%Gold.,0
CITY_STATE_BONUS_ANTIQUITY_14,ECONOMIC,AGE_ANTIQUITY,Freeholders,+1 [icon:YIELD_GOLD]Gold on active [icon:TRADE_ROUTE]Trade Routes for each [icon:CITYSTATE]Economic [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+1 Gold on active Trade Routes for each Economic City-State you are Suzerain of.,0
CITY_STATE_BONUS_ANTIQUITY_15,ECONOMIC,AGE_ANTIQUITY,Tampos,+5 [icon:TRADE_ROUTE]Trade Route range for every [icon:CITYSTATE]Economic [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+5 Trade Route range for every Economic City-State you are Suzerain of.,0
CITY_STATE_ECONOMIC_BONUS_ANTIQUITY_6,ECONOMIC,AGE_ANTIQUITY,Stockpiles,+2 [icon:RADIAL_RESOURCES] Resource Capacity in the [icon:NOTIFICATION_SELECT_CAPITAL] Capital.,+2 Resource Capacity in the Capital.,0
CITY_STATE_ECONOMIC_BONUS_ANTIQUITY_7,ECONOMIC,AGE_ANTIQUITY,Ganzabara,+1[icon:YIELD_GOLD]Gold on Saw Pits and Harbors. This bonus can be chosen by multiple Civilizations.,+1Gold on Saw Pits and Harbors. This bonus can be chosen by multiple Civilizations.,1
CITY_STATE_EXPANSIONIST_BONUS_ANTIQUITY_1,EXPANSIONIST,AGE_ANTIQUITY,Yakhchāl,Allows the creation of the Yakhchāl Improvement. [n]The Yakhchāl provides +2 [icon:YIELD_FOOD] Food. +1 [icon:YIELD_FOOD] Food on Farms on Desert Terrain in the Settlement. Must be placed on an existing [icon:CITY_RURAL] Improvement on a Desert tile. Cannot be placed adjacent to another Yakhchāl.,Allows the creation of the Yakhchāl Improvement. The Yakhchāl provides +2 Food. +1 Food on Farms on Desert Terrain in the Settlement. Must be placed on an existing Improvement on a Desert tile. Cannot be placed adjacent to another Yakhchāl.,0
CITY_STATE_EXPANSIONIST_BONUS_ANTIQUITY_2,EXPANSIONIST,AGE_ANTIQUITY,Aratrum,+1 [icon:YIELD_FOOD]Food on [icon:RADIAL_RESOURCES] Resources.,+1 Food on Resources.,0
CITY_STATE_EXPANSIONIST_BONUS_ANTIQUITY_3,EXPANSIONIST,AGE_ANTIQUITY,Qanats,+4 [icon:YIELD_FOOD]Food on [icon:YIELD_FOOD]Food Buildings.,+4 Food on Food Buildings.,0
CITY_STATE_EXPANSIONIST_BONUS_ANTIQUITY_4,EXPANSIONIST,AGE_ANTIQUITY,Fermentation,+1 [icon:YIELD_FOOD]Food in Settlements for each [icon:CITYSTATE]Expansionist [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of. Doubled in [icon:YIELD_TOWNS]Towns.,+1 Food in Settlements for each Expansionist City-State you are Suzerain of. Doubled in Towns.,0
CITY_STATE_EXPANSIONIST_BONUS_ANTIQUITY_5,EXPANSIONIST,AGE_ANTIQUITY,Hōkūpaʻa,Receive a free [icon:UNIT_SETTLER]Settler in your [icon:NOTIFICATION_SELECT_CAPITAL] Capital.,Receive a free Settler in your Capital.,0
CITY_STATE_EXPANSIONIST_BONUS_ANTIQUITY_6,EXPANSIONIST,AGE_ANTIQUITY,Karum,+1 [icon:SETTLEMENT_LIMIT]Settlement Limit.,+1 Settlement Limit.,0
CITY_STATE_EXPANSIONIST_BONUS_ANTIQUITY_7,EXPANSIONIST,AGE_ANTIQUITY,Horreum,+1 [icon:YIELD_FOOD]Food on Granaries and Fishing Quays. This bonus can be chosen by multiple Civilizations.,+1 Food on Granaries and Fishing Quays. This bonus can be chosen by multiple Civilizations.,1
CITY_STATE_BONUS_ANTIQUITY_1,MILITARISTIC,AGE_ANTIQUITY,Hillfort,"Allows the construction of the Hillfort Unique Improvement. [n]The Hillfort provides +2 [icon:YIELD_PRODUCTION] Production. It also gives +1 [icon:Action_Showall] Sight and +5 [icon:Action_Heal] Healing for Military Units on the tile. Counts as a [icon:Action_Fortify] Fortification, +6 [icon:NAR_REW_COMBAT] Combat Strength when defending. Must be placed on an existing [icon:CITY_RURAL] Improvement on Rough Terrain.","Allows the construction of the Hillfort Unique Improvement. The Hillfort provides +2 Production. It also gives +1 Sight and +5 Healing for Military Units on the tile. Counts as a Fortification, +6 Combat Strength when defending. Must be placed on an existing Improvement on Rough Terrain.",0
CITY_STATE_BONUS_ANTIQUITY_2,MILITARISTIC,AGE_ANTIQUITY,Age of Heroes,[icon:UNIT_ARMY_COMMANDER]Commanders earn +50% Experience.,Commanders earn +50% Experience.,0
CITY_STATE_BONUS_ANTIQUITY_3,MILITARISTIC,AGE_ANTIQUITY,Flatbow,+1 [icon:Action_Ranged]Combat Strength to Ranged and Siege Units for every [icon:CITYSTATE]Militaristic [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+1 Combat Strength to Ranged and Siege Units for every Militaristic City-State you are Suzerain of.,0
CITY_STATE_BONUS_ANTIQUITY_4,MILITARISTIC,AGE_ANTIQUITY,Foederati,Allows the training of the [icon:UNIT_FOEDERATI]Foederati Land Unit. Up to 20% cheaper to purchase. Each one is slightly more expensive than the last. +2 [icon:NAR_REW_COMBAT]Combat Strength for each adjacent Military Unit.,Allows the training of the Foederati Land Unit. Up to 20% cheaper to purchase. Each one is slightly more expensive than the last. +2 Combat Strength for each adjacent Military Unit.,0
CITY_STATE_BONUS_ANTIQUITY_5,MILITARISTIC,AGE_ANTIQUITY,Marca,+1 [icon:NAR_REW_COMBAT]Combat Strength to Infantry Units for every [icon:CITYSTATE]Militaristic [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+1 Combat Strength to Infantry Units for every Militaristic City-State you are Suzerain of.,0
CITY_STATE_MILITARISTIC_BONUS_ANTIQUITY_6,MILITARISTIC,AGE_ANTIQUITY,Hegemon,+1 [icon:SETTLEMENT_LIMIT]Settlement Limit.,+1 Settlement Limit.,0
CITY_STATE_MILITARISTIC_BONUS_ANTIQUITY_7,MILITARISTIC,AGE_ANTIQUITY,Spoils of War,+1 [icon:WAR_SUPPORT]War Support. This bonus can be chosen by multiple Civilizations.,+1 War Support. This bonus can be chosen by multiple Civilizations.,1
CITY_STATE_BONUS_ANTIQUITY_16,SCIENTIFIC,AGE_ANTIQUITY,Step Pyramid,Allows the construction of the Step Pyramid Unique Improvement.[n]The Step Pyramid provides +2 [icon:YIELD_SCIENCE] Science. +1 [icon:YIELD_HAPPINESS] Happiness for every adjacent River tile. Must be placed on an existing [icon:CITY_RURAL] Improvement on tiles with a natural Appeal.,Allows the construction of the Step Pyramid Unique Improvement. The Step Pyramid provides +2 Science. +1 Happiness for every adjacent River tile. Must be placed on an existing Improvement on tiles with a natural Appeal.,0
CITY_STATE_BONUS_ANTIQUITY_17,SCIENTIFIC,AGE_ANTIQUITY,Codex,Receive a free[icon:NAR_REW_GREATWORK]Codex.,Receive a freeCodex.,0
CITY_STATE_BONUS_ANTIQUITY_18,SCIENTIFIC,AGE_ANTIQUITY,Philosopher's Circle,+2 [icon:YIELD_SCIENCE]Science on [icon:YIELD_SCIENCE]Science Buildings.,+2 Science on Science Buildings.,0
CITY_STATE_BONUS_ANTIQUITY_19,SCIENTIFIC,AGE_ANTIQUITY,Pilgrimage,Receive a free [icon:RADIAL_TECH] Technology.,Receive a free Technology.,0
CITY_STATE_BONUS_ANTIQUITY_20,SCIENTIFIC,AGE_ANTIQUITY,Garden of Wonders,+5%[icon:YIELD_PRODUCTION] Production towards constructing [icon:CITY_BUILDING_LIST] Buildings for every [icon:CITYSTATE]Scientific [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+5% Production towards constructing Buildings for every Scientific City-State you are Suzerain of.,0
CITY_STATE_SCIENTIFIC_BONUS_ANTIQUITY_6,SCIENTIFIC,AGE_ANTIQUITY,Lingua Franca,+2[icon:YIELD_SCIENCE]Science on displayed [icon:NAR_REW_GREATWORK]Codices.,+2Science on displayed Codices.,0
CITY_STATE_SCIENTIFIC_BONUS_ANTIQUITY_7,SCIENTIFIC,AGE_ANTIQUITY,Archimedes' Screw,+1[icon:YIELD_SCIENCE]Science on Brickyards and Harbors. This bonus can be chosen by multiple Civilizations.,+1Science on Brickyards and Harbors. This bonus can be chosen by multiple Civilizations.,1
CITY_STATE_BONUS_EXPLORATION_10,CULTURAL,AGE_EXPLORATION,Church Hierarchy,Receive a free [icon:RADIAL_CIVICS] Civic.,Receive a free Civic.,0
CITY_STATE_BONUS_EXPLORATION_6,CULTURAL,AGE_EXPLORATION,Stone Head,Allows the construction of the Stone Head Unique Improvement. [n]The Stonehead provides +4[icon:YIELD_CULTURE] Culture. +1[icon:YIELD_CULTURE] Culture for every adjacent Stone Head. Must be placed on an existing Improvement on tiles with a natural [icon:YIELD_HAPPINESS]Happiness yield.,Allows the construction of the Stone Head Unique Improvement. The Stonehead provides +4 Culture. +1 Culture for every adjacent Stone Head. Must be placed on an existing Improvement on tiles with a natural Happiness yield.,0
CITY_STATE_BONUS_EXPLORATION_7,CULTURAL,AGE_EXPLORATION,Suai,+2[icon:YIELD_CULTURE] Culture on [icon:YIELD_CULTURE]Culture Buildings.,+2 Culture on Culture Buildings.,0
CITY_STATE_BONUS_EXPLORATION_8,CULTURAL,AGE_EXPLORATION,Philatory,+1[icon:YIELD_CULTURE] Culture on Temples in [icon:YIELD_CITIES]Cities for each [icon:CITYSTATE]Cultural [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of. Receive a [icon:NAR_REW_GREATWORK]Relic.,+1 Culture on Temples in Cities for each Cultural City-State you are Suzerain of. Receive a Relic.,0
CITY_STATE_BONUS_EXPLORATION_9,CULTURAL,AGE_EXPLORATION,Dhimmi,+1 [icon:NAR_REW_TRADITION_SLOT]Social Policy slot.,+1 Social Policy slot.,0
CITY_STATE_CULTURAL_BONUS_EXPLORATION_6,CULTURAL,AGE_EXPLORATION,Sì Mín,+1 [icon:YIELD_CULTURE]Culture on [icon:SPECIALIST]Specialists.,+1 Culture on Specialists.,0
CITY_STATE_CULTURAL_BONUS_EXPLORATION_7,CULTURAL,AGE_EXPLORATION,Artisans,"+1 [icon:YIELD_CULTURE]Culture on Saw Pits, Fishing Quays, and Stonecutters. This bonus can be chosen by multiple Civilizations.","+1 Culture on Saw Pits, Fishing Quays, and Stonecutters. This bonus can be chosen by multiple Civilizations.",1
CITY_STATE_DIPLOMATIC_BONUS_EXPLORATION_1,DIPLOMATIC,AGE_EXPLORATION,Minor Embassy,Allows the creation of the Minor Embassy improvement. [n]The Minor Embassy provides +2 [icon:YIELD_DIPLOMACY]Influence. Provides additional +1 [icon:YIELD_DIPLOMACY]Influence for each [icon:PLAYER_RELATIONSHIP_ALLIANCE]Alliance you have. Must be placed on an existing Improvement in a City. One per Settlement.,Allows the creation of the Minor Embassy improvement. The Minor Embassy provides +2 Influence. Provides additional +1 Influence for each Alliance you have. Must be placed on an existing Improvement in a City. One per Settlement.,0
CITY_STATE_DIPLOMATIC_BONUS_EXPLORATION_2,DIPLOMATIC,AGE_EXPLORATION,Demand Tribute,Gain the [icon:SANCTIONS]Demand Tribute Sanction. Target a Settlement with [icon:RADIAL_RESOURCES] Treasure Resources. Inflicts -20 [icon:YIELD_GOLD]Gold per turn on the owner of the Settlement for the duration. Creates a [icon:UNIT_TREASURE_FLEET]Treasure Convoy with a value of 2 when the action ends.,Gain the Demand Tribute Sanction. Target a Settlement with Treasure Resources. Inflicts -20 Gold per turn on the owner of the Settlement for the duration. Creates a Treasure Convoy with a value of 2 when the action ends.,0
CITY_STATE_DIPLOMATIC_BONUS_EXPLORATION_3,DIPLOMATIC,AGE_EXPLORATION,Machi-Bugyō,+2 [icon:YIELD_HAPPINESS]Happiness on [icon:YIELD_HAPPINESS]Happiness Buildings.,+2 Happiness on Happiness Buildings.,0
CITY_STATE_DIPLOMATIC_BONUS_EXPLORATION_4,DIPLOMATIC,AGE_EXPLORATION,Congress of Vienna,+20% [icon:YIELD_DIPLOMACY]Influence towards starting and supporting [icon:ENDEAVOR]Endeavors and [icon:SANCTIONS]Sanctions for each [icon:CITYSTATE]Diplomatic [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+20% Influence towards starting and supporting Endeavors and Sanctions for each Diplomatic City-State you are Suzerain of.,0
CITY_STATE_DIPLOMATIC_BONUS_EXPLORATION_5,DIPLOMATIC,AGE_EXPLORATION,Kataskopoi,+20% [icon:YIELD_DIPLOMACY]Influence towards starting [icon:ESPIONAGE]Espionage Actions for each [icon:CITYSTATE]Diplomatic [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of. They complete 25% faster.,+20% Influence towards starting Espionage Actions for each Diplomatic City-State you are Suzerain of. They complete 25% faster.,0
CITY_STATE_DIPLOMATIC_BONUS_EXPLORATION_6,DIPLOMATIC,AGE_EXPLORATION,Gyeongguk Daejeon,+1 [icon:NAR_REW_TRADITION_SLOT]Social Policy Slot.,+1 Social Policy Slot.,0
CITY_STATE_DIPLOMATIC_BONUS_EXPLORATION_7,DIPLOMATIC,AGE_EXPLORATION,Market Cross,"+1 [icon:YIELD_HAPPINESS]Happiness on Granaries, Brickyards, and Gristmills. This bonus can be chosen by multiple Civilizations.","+1 Happiness on Granaries, Brickyards, and Gristmills. This bonus can be chosen by multiple Civilizations.",1
CITY_STATE_BONUS_EXPLORATION_11,ECONOMIC,AGE_EXPLORATION,Company Post,"Allows the construction of the Company Post Unique Improvement. [n]The Company Post provides +4[icon:YIELD_GOLD] Gold. +1[icon:YIELD_FOOD] Food and +1[icon:YIELD_PRODUCTION] Production in Distant Lands. +2[icon:YIELD_GOLD] Gold if there is at least one [icon:RADIAL_RESOURCES] Resource assigned to this Settlement. Must be placed on an existing Improvement, and cannot be placed adjacent to another Company Post.","Allows the construction of the Company Post Unique Improvement. The Company Post provides +4 Gold. +1 Food and +1 Production in Distant Lands. +2 Gold if there is at least one Resource assigned to this Settlement. Must be placed on an existing Improvement, and cannot be placed adjacent to another Company Post.",0
CITY_STATE_BONUS_EXPLORATION_12,ECONOMIC,AGE_EXPLORATION,Gbara,+4[icon:YIELD_GOLD] Gold on [icon:YIELD_GOLD]Gold Buildings.,+4 Gold on Gold Buildings.,0
CITY_STATE_BONUS_EXPLORATION_13,ECONOMIC,AGE_EXPLORATION,Spice Islands,Receive the Cloves [icon:RADIAL_RESOURCES] Resource in the [icon:NOTIFICATION_SELECT_CAPITAL] Capital. Cloves provides +6[icon:YIELD_FOOD] Food and +10%[icon:YIELD_GOLD] Gold.,Receive the Cloves Resource in the Capital. Cloves provides +6 Food and +10% Gold.,0
CITY_STATE_BONUS_EXPLORATION_14,ECONOMIC,AGE_EXPLORATION,Territorial Claims,+2 Gold[icon:YIELD_GOLD] for each active [icon:TRADE_ROUTE]Trade Route for each [icon:CITYSTATE]Economic [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+2 Gold for each active Trade Route for each Economic City-State you are Suzerain of.,0
CITY_STATE_BONUS_EXPLORATION_15,ECONOMIC,AGE_EXPLORATION,Guosuo,+10 [icon:TRADE_ROUTE]Trade Route range for every [icon:CITYSTATE]Economic [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+10 Trade Route range for every Economic City-State you are Suzerain of.,0
CITY_STATE_ECONOMIC_BONUS_EXPLORATION_6,ECONOMIC,AGE_EXPLORATION,Bullion,+1 [icon:YIELD_GOLD]Gold on [icon:RADIAL_RESOURCES] Treasure Resources.,+1 Gold on Treasure Resources.,0
CITY_STATE_ECONOMIC_BONUS_EXPLORATION_7,ECONOMIC,AGE_EXPLORATION,Market Right,"+1 [icon:YIELD_GOLD]Gold on Saw Pits, Harbors, and Sawmills. This bonus can be chosen by multiple Civilizations.","+1 Gold on Saw Pits, Harbors, and Sawmills. This bonus can be chosen by multiple Civilizations.",1
CITY_STATE_EXPANSIONIST_BONUS_EXPLORATION_1,EXPANSIONIST,AGE_EXPLORATION,Saqiya,Allows the creation of the Saqiya Improvement. [n]The Saqiya provides +4 [icon:YIELD_FOOD]Food. Provides +1 [icon:YIELD_SCIENCE]Science in Settlements following your [icon:NAR_REW_RELIGION]Religion. Must be placed on an existing Improvement on [icon:CLASS_FLOOD] Floodplains.,Allows the creation of the Saqiya Improvement. The Saqiya provides +4 Food. Provides +1 Science in Settlements following your Religion. Must be placed on an existing Improvement on Floodplains.,0
CITY_STATE_EXPANSIONIST_BONUS_EXPLORATION_2,EXPANSIONIST,AGE_EXPLORATION,Carruca,+1 [icon:YIELD_FOOD]Food on [icon:RADIAL_RESOURCES] Resources.,+1 Food on Resources.,0
CITY_STATE_EXPANSIONIST_BONUS_EXPLORATION_3,EXPANSIONIST,AGE_EXPLORATION,Kuebiko,+4 [icon:YIELD_FOOD]Food on [icon:YIELD_FOOD]Food Buildings.,+4 Food on Food Buildings.,0
CITY_STATE_EXPANSIONIST_BONUS_EXPLORATION_4,EXPANSIONIST,AGE_EXPLORATION,Gruit,+2 [icon:YIELD_FOOD]Food in Settlements for each [icon:CITYSTATE]Expansionist [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of. Doubled in [icon:YIELD_TOWNS]Towns.,+2 Food in Settlements for each Expansionist City-State you are Suzerain of. Doubled in Towns.,0
CITY_STATE_EXPANSIONIST_BONUS_EXPLORATION_5,EXPANSIONIST,AGE_EXPLORATION,Hútòng,"Receive a [icon:YIELD_POPULATION]Population in your [icon:NOTIFICATION_SELECT_CAPITAL] Capital when you become [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of an [icon:CITYSTATE]Expansionist [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP], including this one.","Receive a Population in your Capital when you become Suzerain of an Expansionist City-State, including this one.",0
CITY_STATE_EXPANSIONIST_BONUS_EXPLORATION_6,EXPANSIONIST,AGE_EXPLORATION,Mappa Mundi,+1 [icon:SETTLEMENT_LIMIT]Settlement Limit.,+1 Settlement Limit.,0
CITY_STATE_EXPANSIONIST_BONUS_EXPLORATION_7,EXPANSIONIST,AGE_EXPLORATION,Igoudar,"+1 [icon:YIELD_FOOD]Food on Granaries, Fishing Quays, and Gristmills. This bonus can be chosen by multiple Civilizations.","+1 Food on Granaries, Fishing Quays, and Gristmills. This bonus can be chosen by multiple Civilizations.",1
CITY_STATE_BONUS_EXPLORATION_1,MILITARISTIC,AGE_EXPLORATION,Kasbah,"Allows the construction of the Kasbah Unique Improvement. [n]The Kasbah provides +1[icon:YIELD_CULTURE] Culture,[icon:YIELD_GOLD]Gold, and [icon:YIELD_SCIENCE] Science. +3 [icon:NAR_REW_COMBAT]Combat Strength to Units in this tile. Must be placed on an existing Improvement on Desert.","Allows the construction of the Kasbah Unique Improvement. The Kasbah provides +1 Culture,Gold, and Science. +3 Combat Strength to Units in this tile. Must be placed on an existing Improvement on Desert.",0
CITY_STATE_BONUS_EXPLORATION_2,MILITARISTIC,AGE_EXPLORATION,Expeditionary Warfare,[icon:UNIT_ARMY_COMMANDER]Commanders in Distant Lands earn double experience.,Commanders in Distant Lands earn double experience.,0
