resource_type,name,resource_class,ages,yield_types,tooltip_antiquity,tooltip_exploration,tooltip_modern,staple,tradeable,leader_exclusive,civ_exclusive
RESOURCE_TOBACCO,Tobacco,Bonus,Antiquity|Exploration|Modern,YIELD_PRODUCTION,,,+8 Production in a City with a Rail Station. +4 Production in any other City.,0,1,,
RESOURCE_TURTLES,Turtles,Bonus,Antiquity|Exploration|Modern,YIELD_CULTURE,+1 Culture on Warehouse Buildings,+2 Culture on Warehouse Buildings,,0,1,,
RESOURCE_WHALES,Whales,Bonus,Antiquity|Exploration|Modern,YIELD_PRODUCTION,,+5 Production,+8 Production,0,1,,
RESOURCE_WILD_GAME,Wild Game,Bonus,Antiquity|Exploration|Modern,YIELD_FOOD,"+2 Food in Cities, +4 Food in Towns","+3 Food in Cities, +6 Food in Towns",,0,1,,
RESOURCE_WOOL,Wool,Bonus,Antiquity|Exploration|Modern,YIELD_HAPPINESS|YIELD_PRODUCTION,"+2 Production, +2 Happiness",,,0,1,,Greece
RESOURCE_CAMELS,Camels,City,Antiquity|Exploration|Modern,,+2 Resource Capacity in this City. Does not consume an open slot.,+2 Resource Capacity in this City. Does not consume an open slot.,,0,1,,Greece
RESOURCE_CLOVES,Cloves (Not Tradeable),City,Antiquity|Exploration|Modern,YIELD_FOOD|YIELD_GOLD,,"+6 Food, +10% Gold",,0,0,,
RESOURCE_FLAX,Flax,City,Antiquity|Exploration|Modern,YIELD_CULTURE|YIELD_SCIENCE,"+2 Science, +2 Culture","+2 Science, +2 Culture",,0,1,,
RESOURCE_GYPSUM,Gypsum,City,Antiquity|Exploration|Modern,YIELD_PRODUCTION,"+2 Production to Capital, +4 Production in any other City",+3 Production to Homeland Cities; +6 Production to Distant Land Cities,,0,1,,
RESOURCE_INCENSE,Incense,City,Antiquity|Exploration|Modern,YIELD_SCIENCE,+10% Science,+100% Production towards Missionaries and Temples,,0,1,Ashoka|Ashoka Alt,
RESOURCE_JADE,Jade,City,Antiquity|Exploration|Modern,YIELD_GOLD,+10% Gold,+15% Gold,,0,1,Himiko|Himiko Alt,
RESOURCE_KAOLIN,Kaolin,City,Antiquity|Exploration|Modern,YIELD_CULTURE|YIELD_FOOD,"+2 Food to Capital, +4 Food in any other City",+3 Food to Homeland Cities; +6 Food to Distant Land Cities,+3% Culture.,1,1,,
RESOURCE_LAPIS_LAZULI,Lapis Lazuli (Not Tradeable),City,Antiquity|Exploration|Modern,YIELD_GOLD|YIELD_PRODUCTION,"+4 Production, +5% Gold",,,0,0,,
RESOURCE_MANGOS,Mangoes,City,Antiquity|Exploration|Modern,YIELD_CULTURE|YIELD_FOOD,"+2 Food, +2 Culture","+3 Food, +3 Culture",,0,1,,
RESOURCE_NICKEL,Nickel (Not Tradeable),City,Antiquity|Exploration|Modern,YIELD_GOLD|YIELD_SCIENCE,,,"+10% Gold, +10% Science",0,0,,
RESOURCE_PEARLS,Pearls,City,Antiquity|Exploration|Modern,YIELD_HAPPINESS,"+3 Happiness to Capital, +6 Happiness in any other City.",+3 Happiness to Homeland Cities; +6 Happiness to Distant Land Cities,+8 Happiness in Capital. +4 Happiness in any other City.,0,1,,
RESOURCE_SALT,Salt,City,Antiquity|Exploration|Modern,,+20% Production towards training Units,,,0,1,,
RESOURCE_SILK,Silk,City,Antiquity|Exploration|Modern,YIELD_CULTURE,+10% Culture.,+10% Culture,+8 Culture in Capital. +4 Culture in any other City.,0,1,,
RESOURCE_TRUFFLES,Truffles,City,Antiquity|Exploration|Modern,YIELD_FOOD,,+20% Production towards training Units,+8 Food in a City with a Rail Station. +4 Food in any other City.,0,1,,
RESOURCE_COAL,Coal,Empire,Antiquity|Exploration|Modern,,,,+1 Combat Strength for Light Naval Units (Max +6). +10% Production towards Rail Stations and Ports.,0,1,,
RESOURCE_COCOA,Cocoa,Empire,Antiquity|Exploration|Modern,YIELD_HAPPINESS,,"+1 Happiness in Towns, doubled in Homelands.",+3% Happiness.,0,1,Ashoka|Ashoka Alt|Hatshepsut|Jose Rizal|Machiavelli,
RESOURCE_FURS,Furs,Empire,Antiquity|Exploration|Modern,YIELD_GOLD|YIELD_HAPPINESS,,+3 Happiness in the Capital and +10 Gold when in a Celebration,+8 Happiness in a City with a Rail Station. +4 Happiness in any other City.,0,1,Himiko|Himiko Alt,
RESOURCE_GOLD,Gold,Empire,Antiquity|Exploration|Modern,YIELD_GOLD|YIELD_HAPPINESS,+1 Gold and Happiness in all Settlements,+1 Gold and Happiness in all Settlements. Worth 2 Cargo for Treasure Convoys.,+1 Gold and Happiness in all Settlements,1,1,Hatshepsut,
RESOURCE_HARDWOOD,Hardwood,Empire,Antiquity|Exploration|Modern,,+10% Production towards Naval Units,+20% Production towards Naval Units,+20% Production towards Civilian Units,0,1,,
RESOURCE_HORSES,Horses,Empire,Antiquity|Exploration|Modern,YIELD_GOLD|YIELD_HAPPINESS,+1 Combat Strength for Cavalry Units (Max +6),+1 Combat Strength for Cavalry Units (Max +6),+8 Happiness,1,1,Hatshepsut,Greece
RESOURCE_IRON,Iron,Empire,Antiquity|Exploration|Modern,,+1 Combat Strength for Infantry Units (Max +6),+1 Combat Strength for Infantry Units (Max +6),,1,1,,
RESOURCE_IVORY,Ivory,Empire,Antiquity|Exploration|Modern,YIELD_HAPPINESS|YIELD_PRODUCTION,"+10% Production towards Wonders placed in Tropical, Plains, and Desert Biomes","+3 Happiness, +3 Production","+4 Happiness, +4 Production",0,1,,
RESOURCE_LIMESTONE,Limestone,Empire,Antiquity|Exploration|Modern,,+5% Production towards all Wonders,+10% Production towards Buildings,+10% Production towards Buildings,0,1,,
RESOURCE_MARBLE,Marble,Empire,Antiquity|Exploration|Modern,,"+10% Production towards constructing Wonders placed in Grassland, Tundra, and Marine Biomes",+10% Production towards constructing Wonders,+10% Production towards constructing Wonders,0,1,Hatshepsut,
RESOURCE_NITER,Niter,Empire,Antiquity|Exploration|Modern,,,+1 Combat Strength for Siege and Naval Units (Max +6),"+1 Combat Strength for Siege, Ranged, and Heavy Naval Units (Max +6)",0,1,,
RESOURCE_OIL,Oil,Empire,Antiquity|Exploration|Modern,,,,+1 Combat Strength for Cavalry and Heavy Naval Units (Max +6). +10% Production towards Factories.,0,1,,
RESOURCE_RICE,Rice,Empire,Antiquity|Exploration|Modern,YIELD_FOOD,+2 Food in Settlements,+2 Food in Settlements,+2 Food in Settlements,0,1,,
RESOURCE_RUBBER,Rubber,Empire,Antiquity|Exploration|Modern,,,,+1 Combat Strength for Infantry and Air Units (Max +6),0,1,,
RESOURCE_SILVER,Silver,Empire,Antiquity|Exploration|Modern,YIELD_FOOD|YIELD_GOLD,+1 Gold and Food in all Settlements,+1 Gold and Food in all Settlements. Worth 2 Cargo for Treasure Convoys.,+1 Gold and Food in all Settlements,1,1,,
RESOURCE_SPICES,Spices,Empire,Antiquity|Exploration|Modern,YIELD_CULTURE|YIELD_DIPLOMACY|YIELD_FOOD|YIELD_HAPPINESS,,"+1 Culture and Influence in Cities, doubled in Homelands.","+4 Food, +4 Happiness",0,1,Ashoka|Ashoka Alt|Hatshepsut|Jose Rizal|Machiavelli,
RESOURCE_SUGAR,Sugar,Empire,Antiquity|Exploration|Modern,YIELD_FOOD|YIELD_HAPPINESS,,"+1 Food and Happiness in Cities, doubled in Homelands.",+8 Food,0,1,Ashoka|Ashoka Alt|Hatshepsut|Jose Rizal|Machiavelli,
RESOURCE_TEA,Tea,Empire,Antiquity|Exploration|Modern,YIELD_PRODUCTION|YIELD_SCIENCE,,"+1 Science and Production in Cities, doubled in Homelands.",+3% Science.,0,1,Ashoka|Ashoka Alt|Hatshepsut|Jose Rizal|Machiavelli,
RESOURCE_WINE,Wine,Empire,Antiquity|Exploration|Modern,YIELD_CULTURE|YIELD_FOOD|YIELD_HAPPINESS|YIELD_PRODUCTION,+2 Happiness in the Capital and +5 Culture when in a Celebration,+3 Happiness in the Capital and +10 Culture when in a Celebration,"+4 Food, +4 Production",0,1,,Greece
