kind,name,row_type,ability_or_tradition_name,age,description_clean,syncretism_options,modifier_type,modifier_args
civilization,Assyria,Unique Ability,Treasures of Nineveh,Apex,"• Gain a Technology and a Codex upon capturing a Settlement for the first time.
• Codices are not awarded from Technologies.
• +30% Production towards constructing Dur-Sharrukin.","Abbasid, Bulgaria, Qajar",MOD_CIV_WONDER_PRODUCTION_ASSYRIA_TYPE; MOD_CIV_FIRST_TIME_CONQUER_TYPE; MOD_CIV_FIRST_TIME_CONQUER_CODEX_TYPE,Percent=30; Amount=1; SystemType=SYSTEM_TECH; FreeProgressionType=FREE_PROGRESSION_NODE_ANY_UNLOCKED; Amount=1; ObjectType=GREATWORKOBJECT_WRITING
civilization,Assyria,Self-Syncretism Tradition,Ashur I,Exploration,+5 Combat Strength for Infantry and Cavalry Units when attacking Fortified Districts.,,,MOD_UNLOCK_ASSYRIA_SYNCRETISM_EXPLORATION
civilization,Assyria,Self-Syncretism Tradition,Ashur II,Modern,+1 Science on Fortification Buildings. +5 Combat Strength for Infantry and Cavalry Units when attacking Fortified Districts.,,,MOD_UNLOCK_ASSYRIA_SYNCRETISM_MODERN
civilization,Buganda,Unique Ability,Omugongo,Apex,"• Land Units gain Culture when Pillaging Buildings or Improvements equal to the Yield or Healing gained.
• Land Military Units gain the Amphibious ability.
• +6 Culture and Food on Lakes, and +1 Tourism from Districts and Improvements on Lakes.
• +30% Production towards constructing Muzibu Azaala Mpanga.",,TRAIT_MOD_AMPHIBIOUS_ABILITY_TYPE; TRAIT_MOD_RIVER_RAIDS_PILLAGING_ABILITY_TYPE; TRAIT_MOD_RIVER_RAIDS_LAKE_YIELDS_TYPE,"AbilityType=ABILITY_AMPHIBIOUS; AbilityType=ABILITY_RIVER_RAIDS; YieldType=YIELD_CULTURE,YIELD_FOOD; Amount=2"
civilization,Buganda,Self-Syncretism Tradition,Ebika I,Antiquity,+1 Culture and Food on Districts on or adjacent to Lakes.,,,MOD_UNLOCK_BUGANDA_SYNCRETISM_ANTIQUITY
civilization,Buganda,Self-Syncretism Tradition,Ebika II,Exploration,+2 Culture and Food on Districts on or adjacent to Lakes.,,,MOD_UNLOCK_BUGANDA_SYNCRETISM_EXPLORATION
civilization,Bulgaria,Unique Ability,Krum's Dynasty,Apex,"• Receive Production in all Cities when Pillaging Improvements equal to 50% of the HP or Yields gained.
• -3 Combat Strength for all Combat Units against Fortified Districts.
• +30% Production towards constructing Rila Monastery.",Russia,MOD_CIV_PRODUCTION_PILLAGE_IMPROVEMENT_TYPE; MOD_CIV_COMBAT_VS_FORTIFIED_DISTRICTS_TYPE,Amount=50; PlunderTypes=PLUNDER_PRODUCTION_CITY; Amount=-3
civilization,Bulgaria,Self-Syncretism Tradition,Uporitost I,Antiquity,+2 Production on displayed Great Works.,,,MOD_UNLOCK_BULGARIA_SYNCRETISM_ANTIQUITY
civilization,Bulgaria,Self-Syncretism Tradition,Uporitost II,Modern,+3 Production on displayed Great Works. Land Units can Pillage for 1 Movement.,,,MOD_UNLOCK_BULGARIA_SYNCRETISM_MODERN
civilization,Carthage,Unique Ability,Phoenician Heritage,Apex,"• Can only have 1 City. Towns can purchase Water Buildings with any Town Focus, but cannot use Convert to City.
• Receive a second Merchant or Colonist each time you purchase or train one.
• +30% Production towards constructing Byrsa.","Ottomans, Republic of Pirates, Spain",MOD_CIV_WONDER_PRODUCTION_CARTHAGE_TYPE; MOD_CIV_DOUBLE_MERCHANTS_TYPE; MOD_CIV_DOUBLE_COLONISTS_TYPE; MOD_TOWN_WATER_BUILDING_TYPE; MOD_FORBID_CITIES_FROM_TOWNS_TYPE; TRAIT_MOD_COLONIST_POP_TYPE,Percent=30; Tag=UNIT_CLASS_MAKE_TRADE_ROUTE; Amount=1; PurchaseValid=true; Tag=UNIT_CLASS_CREATE_TOWN; Amount=1; PurchaseValid=true; ConstructibleTag=WATER; Amount=1; Amount=1
civilization,Carthage,Self-Syncretism Tradition,Hannoid Rule I,Exploration,+1 Gold and Production in the Capital for every Resource assigned to it.,,,MOD_UNLOCK_CARTHAGE_SYNCRETISM_EXPLORATION
civilization,Carthage,Self-Syncretism Tradition,Hannoid Rule II,Modern,+2 Gold and Production in the Capital for every Resource assigned to it.,,,MOD_UNLOCK_CARTHAGE_SYNCRETISM_MODERN
civilization,Chola,Unique Ability,Samayam,Apex,"• +1 Trade Route from the Improve Trade Relations Action.
• +3 Gold and +2 Influence for every active Trade Route.
• +1 Movement for Merchants.
• +1 GDP per turn for imported Resources assigned to Cities.
• +30% Production towards constructing the Brihadeeswarar Temple.","Mughal, Nepal, Siam",MOD_TOT_CHANGE_TRADE_ROUTE_CAPACITY_TYPE; TRAIT_MOD_TOT_AQ_TRADE_ROUTE_GOLD_TYPE; TRAIT_MOD_TOT_AQ_TRADE_ROUTE_INFLUENCE_TYPE; TRAIT_MOD_CHOLA_MERCHANT_MOVEMENT_TYPE,Amount=1; YieldType=YIELD_GOLD; Amount=2; Tooltip=LOC_TRAIT_CHOLA_ABILITY_NAME; YieldType=YIELD_DIPLOMACY; Amount=1; Tooltip=LOC_TRAIT_CHOLA_ABILITY_NAME; Amount=1
civilization,Chola,Self-Syncretism Tradition,Veera Banaju Dharma I,Antiquity,+5 Influence if you have 5 or more Trade Routes. +50% Production towards training Merchants.,,,MOD_UNLOCK_CHOLA_SYNCRETISM_ANTIQUITY
civilization,Chola,Self-Syncretism Tradition,Veera Banaju Dharma II,Modern,+10 Influence if you have 5 or more Trade Routes. +100% Production towards training Merchants.,,,MOD_UNLOCK_CHOLA_SYNCRETISM_MODERN
civilization,Egypt,Unique Ability,Gifts of Osiris,Apex,"• +2 Production on Improvements and Districts on Navigable Rivers.
• Minor Rivers do not end Unit Movement.
• +30% Production towards constructing the Pyramids.","Abbasid, Ottomans, Songhai",TRAIT_MOD_GIFTS_OF_OSIRIS_NAVIGABLE_RIVER_TYPE; TRAIT_MOD_GIFTS_OF_OSIRIS_UNITS_IGNORE_MINOR_RIVER_TYPE; MOD_CIV_WONDER_PRODUCTION_EGYPT_TYPE,YieldType=YIELD_PRODUCTION; Amount=2; Tooltip=LOC_TRAIT_EGYPT_ABILITY_NAME; Obstacle=RIVER_MINOR; Percent=30
civilization,Egypt,Self-Syncretism Tradition,Golden Horus I,Exploration,"+1 Culture and Gold on Wonders, doubled on Antiquity Wonders.",,,MOD_UNLOCK_EGYPT_SYNCRETISM_EXPLORATION
civilization,Egypt,Self-Syncretism Tradition,Golden Horus II,Modern,"+2 Culture and Gold on Wonders, doubled on Antiquity Wonders.",,,MOD_UNLOCK_EGYPT_SYNCRETISM_MODERN
civilization,French Empire,Unique Ability,"Liberté, Egalité, Fraternité",Apex,"• You can select the Celebration effects of any standard Modern Age Government.
• +30% Production towards constructing the Eiffel Tower.",,TRAIT_MOD_LIBERTE_AQ_GOVERNMENT_CHANGE_TYPE,"GoldenAgeType=GOLDEN_AGE_CLASSICAL_REPUBLIC_1,GOLDEN_AGE_CLASSICAL_REPUBLIC_2,GOLDEN_AGE_DESPOTISM_1,GOLDEN_AGE_DESPOTISM_2,GOLDEN_AGE_OLIGARCHY_1,GOLDEN_AGE_OLIGARCHY_2"
civilization,French Empire,Self-Syncretism Tradition,De l'Esprit des Loix I,Antiquity,+2 Culture for every Tradition slotted into the Government. +2 Happiness for every Social Policy slotted into the Government.,,,MOD_UNLOCK_FRENCH_EMPIRE_SYNCRETISM_ANTIQUITY
civilization,French Empire,Self-Syncretism Tradition,De l'Esprit des Loix II,Exploration,+3 Culture for every Tradition slotted into the Government. +3 Happiness for every Social Policy slotted into the Government.,,,MOD_UNLOCK_FRENCH_EMPIRE_SYNCRETISM_EXPLORATION
civilization,Great Britain,Unique Ability,Workshop of the World,Apex,"• +25% Gold towards purchasing Buildings and +25% Production towards constructing Buildings.
• It costs 50% more to convert Towns into Cities.
• +3 Science on Active Buildings adjacent to Coast.
• +30% Production towards constructing Battersea Power Station.",,TRAIT_MOD_CITY_PROJECT_MORE_EXPENSIVE_TYPE; TRAIT_GB_MOD_BUILDING_CHEAPER_PURCHASE_TYPE; TRAIT_GB_MOD_BUILDING_PRODUCTION_TYPE; TRAIT_GB_MOD_COASTAL_BUILDING_SCIENCE_A_TYPE; TRAIT_GB_MOD_COASTAL_BUILDING_SCIENCE_B_TYPE,Percent=-50; Percent=25; Percent=25; ConstructibleClass=BUILDING; YieldType=YIELD_SCIENCE; Amount=1; Tooltip=LOC_TRAIT_GREAT_BRITAIN_ABILITY_NAME; YieldType=YIELD_SCIENCE; Amount=1; Tooltip=LOC_TRAIT_GREAT_BRITAIN_ABILITY_NAME
civilization,Great Britain,Self-Syncretism Tradition,Royal Society I,Antiquity,+1 Science on Culture Buildings adjacent to Coast. +1 Culture on Science Buildings adjacent to Coast.,,,MOD_UNLOCK_GREAT_BRITAIN_SYNCRETISM_ANTIQUITY
civilization,Great Britain,Self-Syncretism Tradition,Royal Society II,Exploration,+2 Science on Culture Buildings adjacent to Coast. +2 Culture on Science Buildings adjacent to Coast.,,,MOD_UNLOCK_GREAT_BRITAIN_SYNCRETISM_EXPLORATION
civilization,Greece,Unique Ability,Demokratia,Apex,"• +3 Influence on the Palace.
• +2 Culture for active Endeavors, Sanctions, and Diplomatic Projects you started or supported.
• +3 Tourism for every City-State you are Suzerain of.
• +30% Production towards constructing the Oracle.","Bulgaria, Norman, Russia, Spain",TRAIT_MOD_DEMOKRATIA_INFLUENCE_TYPE; TRAIT_MOD_DEMOKRATIA_CULTURE_ENDEAVOR_TYPE; TRAIT_MOD_DEMOKRATIA_CULTURE_SANCTION_TYPE; TRAIT_MOD_DEMOKRATIA_CULTURE_PROJECT_TYPE; TRAIT_MOD_DEMOKRATIA_CITY_STATE_TOURISM_TYPE; MOD_CIV_WONDER_PRODUCTION_GREECE_TYPE,YieldType=YIELD_DIPLOMACY; Amount=3; ConstructibleType=BUILDING_PALACE; Tooltip=LOC_TRAIT_GREECE_ABILITY_NAME; ActionGroupType=DIPLOMACY_ACTION_GROUP_ENDEAVOR; YieldType=YIELD_CULTURE; Amount=2; Tooltip=LOC_TRAIT_GREECE_ABILITY_NAME; ActionGroupType=DIPLOMACY_ACTION_GROUP_SANCTION; YieldType=YIELD_CULTURE; Amount=2; Tooltip=LOC_TRAIT_GREECE_ABILITY_NAME; ActionGroupType=DIPLOMACY_ACTION_GROUP_PROJECT; YieldType=YIELD_CULTURE; Amount=2; Tooltip=LOC_TRAIT_GREECE_ABILITY_NAME; TrackerName=VICTORY_TRACKER_GREECE_SUZERAIN; Percent=30
civilization,Greece,Self-Syncretism Tradition,Hellenism I,Exploration,+1 Happiness and Production in Cities for each City-State you are Suzerain of.,,,MOD_UNLOCK_GREECE_SYNCRETISM_EXPLORATION
civilization,Greece,Self-Syncretism Tradition,Hellenism II,Modern,+2 Happiness and Production in Cities for each City-State you are Suzerain of.,,,MOD_UNLOCK_GREECE_SYNCRETISM_MODERN
civilization,Han,Unique Ability,Nine Provinces,Apex,"• The Capital gains a Population when it completes Science Buildings.
• The Capital and new Towns gain an additional Population with their first growth event.
• +30% Production towards constructing Weiyang Palace.","Ming, Mongolia, Qing",TRAIT_MOD_NINE_PROVINCES_CAPITAL_TYPE; TRAIT_MOD_NINE_PROVINCES_TOWN_TYPE; TRAIT_MOD_NINE_PROVINCES_POP_IN_CAPITAL_ON_SCIENCE_BUILDING_TYPE; MOD_CIV_WONDER_PRODUCTION_HAN_TYPE,Amount=1; Amount=1; Amount=1; Percent=30
civilization,Han,Self-Syncretism Tradition,Capable Rule I,Exploration,+1 Science in Cities for every Tradition slotted in the Government.,,,MOD_UNLOCK_HAN_SYNCRETISM_EXPLORATION
civilization,Han,Self-Syncretism Tradition,Capable Rule II,Modern,+2 Science in Cities for every Tradition slotted in the Government.,,,MOD_UNLOCK_HAN_SYNCRETISM_MODERN
civilization,Hawai'i,Unique Ability,Moananuiākea,Apex,"• Can work Ocean Terrain.
• +1 Happiness and +2 Culture on all Marine Terrain.
• +30% Production towards constructing Hale o Keawe.",Meiji Japan,TRAIT_MOD_HAWAII_IMPROVE_OCEAN_TYPE; TRAIT_MOD_HAWAII_TOT_AQ_CULTURE_ON_MARINE_TYPE; TRAIT_MOD_HAWAII_TOT_AQ_CULTURE_WAREHOUSE_TYPE,"ConstructibleType=IMPROVEMENT_HAWAII_FISHING_BOAT; Amount=1; YieldType=YIELD_CULTURE; WarehouseYieldChange=HawaiiAQ_FishingBoatResourceCulture, HawaiiAQ_AtollFeatureCulture, HawaiiAQ_LotusFeatureCulture, HawaiiAQ_ReefFeatureCulture, HawaiiAQ_ColdReefFeatureCulture"
civilization,Hawai'i,Self-Syncretism Tradition,Hōkūle'a I,Antiquity,+1 Culture on Districts and Unique Improvements adjacent to Coast.,,,MOD_UNLOCK_HAWAII_SYNCRETISM_ANTIQUITY
civilization,Hawai'i,Self-Syncretism Tradition,Hōkūle'a II,Modern,+2 Culture on Districts and Unique Improvements adjacent to Coast. +4 Culture on Volcanoes.,,,MOD_UNLOCK_HAWAII_SYNCRETISM_MODERN
civilization,Iceland,Unique Ability,Kringla Heimsins,Apex,"• +1 Sight for Naval Units.
• Gain 500 Culture when you discover a Natural Wonder in Distant Lands (On Standard Speed).
• Gain a Relic every time you study a Civic Mastery.
• -50% Production towards training Missionaries, and Missionaries cost 100% more Gold to purchase.
• +30% Production towards constructing Reykjaholt.",America,ICELAND_MOD_NAVAL_SIGHT_TYPE; ICELAND_AQ_MOD_NATURAL_WONDER_DISCOVERY_TYPE,Amount=1; YieldType=YIELD_CULTURE; Amount=250; DistantLandBonus=0
civilization,Iceland,Self-Syncretism Tradition,Drekahöfuð I,Antiquity,Producing a Naval Unit grants Culture equal to 50% of the Unit's Production cost.,,,MOD_UNLOCK_ICELAND_SYNCRETISM_ANTIQUITY
civilization,Iceland,Self-Syncretism Tradition,Drekahöfuð II,Modern,Producing a Naval Unit grants Culture equal to 50% of the Unit's Production cost. +1 Combat Strength for Naval Units for each improved Natural Wonder in your empire.,,,MOD_UNLOCK_ICELAND_SYNCRETISM_MODERN
civilization,Inca,Unique Ability,Apus,Apex,"• Can work Mountain Terrain.
• +2 Food and +1 Production on Mountain Terrain.
• Can generate Homelands Treasure Convoys in Cities with 3 Worked Mountains after completing the Qhapaq Ñan Civic.
• +30% Production towards constructing Machu Pikchu.",Mexico,TRAIT_MOD_APUS_IMPROVE_MOUNTAINS_TYPE; TRAIT_MOD_TOT_AQ_APUS_MOUNTAIN_FOOD_TYPE; TRAIT_MOD_APUS_MOUNTAIN_PRODUCTION_TYPE,ConstructibleType=IMPROVEMENT_INCA_MOUNTAIN; Amount=1; YieldType=YIELD_FOOD; Amount=1; YieldType=YIELD_PRODUCTION
civilization,Inca,Self-Syncretism Tradition,Huaca I,Antiquity,+10% Food in Settlements with their City Center adjacent to a Mountain or with 3 worked Mountain tiles.,,,MOD_UNLOCK_INCA_SYNCRETISM_ANTIQUITY
civilization,Inca,Self-Syncretism Tradition,Huaca II,Modern,+15% Food in Settlements with their City Center adjacent to a Mountain or with 3 worked Mountain tiles.,,,MOD_UNLOCK_INCA_SYNCRETISM_MODERN
civilization,Khmer,Unique Ability,Ksekam Chamnon,Apex,"• Districts on Rivers do not remove the natural yield of the tile.
• +50% Growth Rate in the Capital, but -5 Happiness for every other City.
• +30% Production towards constructing Angkor Wat.","Chola, Đại Việt, Majapahit, Siam",TRAIT_MOD_KSEKAM_CHAMNON_MINOR_RIVER_TYPE; TRAIT_MOD_KSEKAM_CHAMNON_NAVIGABLE_RIVER_TYPE; TRAIT_MOD_KSEKAM_CHAMNON_CAPITAL_GROWTH_TYPE; TRAIT_MOD_KSEKAM_CHAMNON_CITY_HAPPINESS_PENALTY_TYPE; MOD_CIV_WONDER_PRODUCTION_KHMER_TYPE,MinorRivers=true; Tooltip=LOC_TRAIT_KHMER_ABILITY_NAME; TerrainTypes=TERRAIN_NAVIGABLE_RIVER; Tooltip=LOC_TRAIT_KHMER_ABILITY_NAME; Percent=50; Tooltip=LOC_TRAIT_KHMER_ABILITY_NAME; YieldType=YIELD_HAPPINESS; Amount=-5; Tooltip=LOC_TRAIT_KHMER_ABILITY_NAME; Percent=30
civilization,Khmer,Self-Syncretism Tradition,Varna I,Exploration,+1 Gold on Specialists.,,,MOD_UNLOCK_KHMER_SYNCRETISM_EXPLORATION
civilization,Khmer,Self-Syncretism Tradition,Varna II,Modern,+1 Gold and Science on Specialists.,,,MOD_UNLOCK_KHMER_SYNCRETISM_MODERN
civilization,Majapahit,Unique Ability,Negara,Apex,"• Culture Buildings gain an adjacency for Coast.
• +1 Specialist Limit in Districts on or adjacent to Coast.
• If you transition away from the Majapahit, the Specialist Limit increase goes away. Specialists over the Limit become inactive until you increase the Limit.
• +30% Production towards constructing Borobudur.",Meiji Japan,TRAIT_MOD_NEGARA_CULTURE_BUILDING_ADJACENCY_TYPE; TRAIT_MOD_NEGARA_SPECIALIST_CAP_INCREASE_TYPE,ConstructibleAdjacency=NegaraCultureBuildingCoastCulture; Amount=1
civilization,Majapahit,Self-Syncretism Tradition,Subak I,Antiquity,+2 Food on Quarters on or adjacent to Coast. +10% Growth Rate in Settlements adjacent to Coast.,,,MOD_UNLOCK_MAJAPAHIT_SYNCRETISM_ANTIQUITY
civilization,Majapahit,Self-Syncretism Tradition,Subak II,Modern,+4 Food on Quarters on or adjacent to Coast. +15% Growth Rate in Settlements adjacent to Coast.,,,MOD_UNLOCK_MAJAPAHIT_SYNCRETISM_MODERN
civilization,Maurya,Unique Ability,Dhamma Thambhā,Apex,"• +2 Happiness on Happiness, Military, and Science Buildings.
• Land Units are fully Healed when you enter a Celebration.
• +30% Production towards constructing Sanchi Stupa.","Chola, Majapahit, Nepal",TRAIT_MOD_DHAMMA_THAMBHA_AQ_HAPPINESS_BUILDING_HAPPINESS_TYPE; TRAIT_MOD_DHAMMA_THAMBHA_AQ_MILITARY_BUILDING_HAPPINESS_TYPE; TRAIT_MOD_DHAMMA_THAMBHA_AQ_SCIENCE_BUILDING_HAPPINESS_TYPE; TRAIT_MOD_DHAMMA_THAMBHA_CELEBRATION_HEAL_TYPE; TRAIT_MOD_NAGARIKA_ALTAR_PURCHASE_TYPE; MOD_CIV_WONDER_PRODUCTION_MAURYA_TYPE,Tag=HAPPINESS; YieldType=YIELD_HAPPINESS; Amount=2; Tag=MILITARY; YieldType=YIELD_HAPPINESS; Amount=2; Tag=SCIENCE; YieldType=YIELD_HAPPINESS; Amount=2; DomainType=DOMAIN_LAND; Amount=100; BuildingType=BUILDING_ALTAR; Amount=1; Percent=30
civilization,Maurya,Self-Syncretism Tradition,Chhatrapati I,Exploration,"+2 and Science on the Palace and on City Halls in Captured Settlements from any Age, doubled while in a Celebration.",,,MOD_UNLOCK_MAURYA_SYNCRETISM_EXPLORATION
civilization,Maurya,Self-Syncretism Tradition,Chhatrapati II,Modern,"+3 and Science on the Palace and on City Halls in Captured Settlements from any Age, doubled while in a Celebration.",,,MOD_UNLOCK_MAURYA_SYNCRETISM_MODERN
civilization,Maya,Unique Ability,Skies of Itzamna,Apex,"• After researching a Technology, gain Culture equal to 10% of its cost.
• After studying a Civic, gain Science equal to 10% of its cost.
• +30% Production towards constructing Mundo Perdido.","Hawai'i, Inca, Mexico",TRAIT_MOD_SKIES_OF_ITZAMNA_CULTURE_FOR_TECH_TYPE; TRAIT_MOD_SKIES_OF_ITZAMNA_SCIENCE_FOR_CIVIC_TYPE; MOD_CIV_WONDER_PRODUCTION_MAYA_TYPE,SystemType=SYSTEM_TECH; YieldType=YIELD_CULTURE; PercentCost=10; Tooltip=LOC_TRAIT_MAYA_ABILITY_NAME; SystemType=SYSTEM_CULTURE; YieldType=YIELD_SCIENCE; PercentCost=10; Tooltip=LOC_TRAIT_MAYA_ABILITY_NAME; Percent=30
civilization,Maya,Self-Syncretism Tradition,Milpa I,Exploration,+2 Science on Science Buildings placed on Vegetated Terrain.,,,MOD_UNLOCK_MAYA_SYNCRETISM_EXPLORATION
civilization,Maya,Self-Syncretism Tradition,Milpa II,Modern,+2 Science on Happiness and Science Buildings placed on Vegetated Terrain.,,,MOD_UNLOCK_MAYA_SYNCRETISM_MODERN
civilization,Meiji Japan,Unique Ability,Goisshin,Apex,"• When you Overbuild a Building, gain Science equal to 25% of the Building's Production cost.
• +30% Production towards constructing Dogo Onsen.",,TRAIT_MOD_GOISSHIN_AQ_SCIENCE_ON_BUILD_TYPE,ConstructibleClass=BUILDING; YieldType=YIELD_SCIENCE; PercentCost=25
civilization,Meiji Japan,Self-Syncretism Tradition,Kimi I,Antiquity,+1 Science for every Empire Resource.,,,MOD_UNLOCK_MEIJI_SYNCRETISM_ANTIQUITY
civilization,Meiji Japan,Self-Syncretism Tradition,Kimi II,Exploration,+1 Science for every Empire Resource. +1 Science in Cities adjacent to Coast for every Resource assigned to them.,,,MOD_UNLOCK_MEIJI_SYNCRETISM_EXPLORATION
civilization,Mexico,Unique Ability,Revolución,Apex,"• Starts with a unique Government, Revolución. This Government has one Celebration effect, +30% Culture for 10 Turns. Cannot enter any other Government type.
• +100% Tourism from Celebrations.
• +30% Production towards constructing Palacio de Bellas Artes.",,TRAIT_MOD_REVOLUCION_GOVERNMENT_UNIQUE_TYPE,GovernmentType=GOVERNMENT_REVOLUCION
civilization,Mexico,Self-Syncretism Tradition,Campesinos I,Antiquity,+2 Happiness in the Capital. +5 to all Yields in the Capital during a Celebration.,,,MOD_UNLOCK_MEXICO_SYNCRETISM_ANTIQUITY
civilization,Mexico,Self-Syncretism Tradition,Campesinos II,Exploration,+4 Happiness in the Capital. +10 to all Yields in the Capital during a Celebration.,,,MOD_UNLOCK_MEXICO_SYNCRETISM_EXPLORATION
civilization,Ming,Unique Ability,Great Canon of Yongle,Apex,"• +50% Science in the Capital.
• -15 Science per turn for each Social Policy, but not Tradition, slotted in the Government.
• +1 Tradition Slot.
• +30% Production towards constructing the Forbidden City.",Qing,TRAIT_MOD_CAPITAL_EXTRA_SCIENCE_TYPE; TRAIT_MOD_TOT_AQ_LOSE_SCIENCE_PER_NON_UNIQUE_TRADITION_TYPE; TRAIT_MOD_TOT_MING_TRADITION_SLOT_TYPE; MANDARIN_MOD_NAVAL_TRADE_ATTACH_HOMELANDS_TYPE; MANDARIN_MOD_NAVAL_TRADE_ATTACH_DISTANT_TYPE,"YieldType=YIELD_SCIENCE; Percent=50; YieldType=YIELD_SCIENCE; Amount=-2; CivUnique=true; Invert=true; SlotType=TRADITION_CULTURE_SLOT; Amount=1; ModifierId=MANDARIN_MOD_NAVAL_TRADE_TARGET_CULTURE, MANDARIN_MOD_NAVAL_TRADE_TREASURE_FLEET_HOMELANDS; ModifierId=MANDARIN_MOD_NAVAL_TRADE_TARGET_CULTURE, MANDARIN_MOD_NAVAL_TRADE_TREASURE_FLEET_DISTANT"
civilization,Ming,Self-Syncretism Tradition,Chaogong I,Antiquity,+1 Influence for each Resource slotted into your Capital.,,,MOD_UNLOCK_MING_SYNCRETISM_ANTIQUITY
civilization,Ming,Self-Syncretism Tradition,Chaogong II,Modern,+2 Influence for each Resource slotted into your Capital.,,,MOD_UNLOCK_MING_SYNCRETISM_MODERN
